itr,loss
0,5894.68994141
1,4928.23583984
2,5083.71923828
3,5182.65625
4,4405.12304688
5,4266.78515625
6,5237.41796875
7,4685.60693359
8,4387.71240234
9,4273.72851562
10,4333.48046875
11,4561.07763672
12,4527.45556641
13,4173.89355469
14,4461.51464844
15,4306.29736328
16,4529.44775391
17,4285.3203125
18,4521.49462891
19,4290.09570312
20,4071.05810547
21,4123.19482422
22,4280.21240234
23,4004.89794922
24,4115.42675781
25,4330.80712891
26,4132.64892578
27,4300.71972656
28,4028.11450195
29,4115.91552734
30,4154.00439453
31,3866.21655273
32,4087.27856445
33,3775.90136719
34,4421.59472656
35,4096.86328125
36,3688.29956055
37,4317.68847656
38,3987.59594727
39,4029.20874023
40,3912.29663086
41,4223.33251953
42,4133.63916016
43,3683.61254883
44,3730.43237305
45,4361.45996094
46,4207.57373047
47,3764.29467773
48,3678.6315918
49,3925.57104492
50,4166.69091797
51,3800.09179688
52,4149.3046875
53,4054.53222656
54,3995.30371094
55,3684.35229492
56,3703.14453125
57,4180.69140625
58,3908.19726562
59,4054.92260742
60,4099.27294922
61,3512.95947266
62,4543.95654297
63,4027.04663086
64,3790.28662109
65,4339.81933594
66,4146.18701172
67,3979.82568359
68,3825.06835938
69,4211.31982422
70,4122.29101562
71,3982.33959961
72,3925.60107422
73,4118.55322266
74,4159.07080078
75,3668.15087891
76,3929.1484375
77,4053.28710938
78,3894.85009766
79,3817.47583008
80,3691.89770508
81,3755.76342773
82,3972.26025391
83,3886.56494141
84,3283.17749023
85,3897.50341797
86,4263.16552734
87,4060.43457031
88,3932.51416016
89,3732.40844727
90,3659.42700195
91,3798.84277344
92,4548.38183594
93,3548.21606445
94,3796.72192383
95,3643.97094727
96,3926.27709961
97,3353.17480469
98,3390.54174805
99,3732.72021484
100,3671.84692383
101,3210.52392578
102,4146.00537109
103,3680.76831055
104,4520.09765625
105,3384.44726562
106,3753.40673828
107,4967.73876953
108,4035.92871094
109,3501.3269043
110,3837.84814453
111,3961.39208984
112,2959.54907227
113,3588.47070312
114,3430.93334961
115,3409.69140625
116,3069.47949219
117,3422.74633789
118,3622.38476562
119,3624.87768555
120,3521.83349609
121,2932.46923828
122,3517.32983398
123,2747.78027344
124,3523.52246094
125,3164.94262695
126,3264.01635742
127,2879.28149414
128,3623.47412109
129,3285.23730469
130,3187.73901367
131,3562.22680664
132,3745.015625
133,3731.48681641
134,3474.08203125
135,3111.71435547
136,3660.27416992
137,3955.26220703
138,3254.43115234
139,3075.19458008
140,3058.84423828
141,3192.26025391
142,2964.91162109
143,3055.51464844
144,3664.21850586
145,2993.07568359
146,3319.64038086
147,3340.09912109
148,2822.32470703
149,4093.29931641
150,3512.44824219
151,3112.8215332
152,3416.73535156
153,4055.14331055
154,3504.60864258
155,2655.56591797
156,3134.13793945
157,3160.32714844
158,2546.0949707
159,2639.94238281
160,2854.62988281
161,2524.39233398
162,3545.8671875
163,3255.72143555
164,3009.3059082
165,3554.30664062
166,2688.23364258
167,2972.79711914
168,2872.80444336
169,2698.60766602
170,2940.02246094
171,2926.47338867
172,3071.29833984
173,3158.27880859
174,3134.48120117
175,3289.12036133
176,2933.21069336
177,2884.60595703
178,2444.61962891
179,3273.27929688
180,2676.81640625
181,3490.21533203
182,3071.09008789
183,3055.53369141
184,3582.95874023
185,3539.84912109
186,2625.63110352
187,2606.58984375
188,2877.24536133
189,3301.57568359
190,2212.06176758
191,2850.69140625
192,2606.21240234
193,2465.05053711
194,2655.94116211
195,3229.56616211
196,2883.73999023
197,3063.56494141
