itr,loss
0,5143.36621094
1,4107.85986328
2,3361.20532227
3,3148.76513672
4,2850.34301758
5,2599.49951172
6,2498.42871094
7,2220.61938477
8,2155.14428711
9,2178.13696289
10,2103.96118164
11,2106.14990234
12,1822.96276855
13,2020.68518066
14,2030.42895508
15,1933.21679688
16,2085.07202148
17,2079.37792969
18,1855.61230469
19,1735.1270752
20,2000.77539062
21,1908.23791504
22,1822.74707031
23,1903.3515625
24,1703.25866699
25,1901.99023438
26,1590.84301758
27,1863.29003906
28,1708.83483887
29,1649.86914062
30,1749.42443848
31,1632.55102539
32,1743.27624512
33,1659.11706543
34,1839.87109375
35,1691.75280762
36,1626.76293945
37,1749.15942383
38,1747.3927002
39,1708.38928223
40,1706.43884277
41,1658.41772461
42,1969.28112793
43,1589.19335938
44,1826.60412598
45,1505.65612793
46,1539.55883789
47,1627.00598145
48,1613.53039551
49,1467.22363281
50,1667.41918945
51,1721.52111816
52,1440.70251465
53,1678.67590332
54,1587.35791016
55,1723.02893066
56,1569.54931641
57,1524.47143555
58,1353.6060791
59,1260.26184082
60,1624.57177734
61,1410.33691406
62,1579.7208252
63,1203.6472168
64,1308.11132812
65,1468.26794434
66,1263.71618652
67,1403.61340332
68,1444.66662598
69,1354.26208496
70,1161.31970215
71,1305.64770508
72,1299.80725098
73,1502.71313477
74,1351.25488281
75,1381.4765625
76,1319.99316406
77,1139.78479004
78,1493.51318359
79,1342.34387207
80,1310.62670898
81,1143.83752441
82,1039.58837891
83,1208.74230957
84,1038.4074707
85,1155.45678711
86,1298.57897949
87,1082.95385742
88,1170.09619141
89,1155.55700684
90,1163.77514648
91,1212.95837402
92,1140.66687012
93,1065.76086426
94,1255.43933105
95,1067.29980469
96,1020.30395508
97,1046.95068359
98,989.776428223
99,913.05670166
100,1032.50769043
101,1112.39050293
102,1058.93005371
103,1233.97412109
104,1011.41308594
105,1090.49951172
106,997.630554199
107,1148.90649414
108,958.742980957
109,975.40637207
110,1036.99450684
111,1057.95129395
112,992.00592041
113,1102.44470215
114,1025.91906738
115,1218.26123047
116,1349.77062988
117,1111.59277344
118,1227.26379395
119,1121.6496582
120,1007.53594971
121,1094.35778809
122,929.468444824
123,1011.0690918
124,981.301940918
125,926.971923828
126,866.455688477
127,900.977539062
128,923.530639648
129,970.608093262
130,972.606750488
131,979.968200684
132,792.055847168
133,949.581237793
134,883.991149902
135,913.776794434
136,825.340209961
137,856.990905762
138,889.379638672
139,872.068725586
140,788.723815918
141,817.003601074
142,850.055725098
143,832.579589844
144,909.268493652
145,841.221923828
146,795.885925293
147,892.816589355
148,719.064453125
149,861.867675781
150,828.351013184
151,833.012512207
152,796.846740723
153,712.475097656
154,960.784240723
155,930.48059082
156,758.714599609
157,913.360656738
158,834.562744141
159,744.483154297
160,909.756774902
161,764.815246582
162,769.301818848
163,774.384460449
164,820.495788574
165,810.979675293
166,770.832336426
167,752.038391113
168,744.200195312
169,786.758239746
170,939.647338867
171,769.167053223
172,837.924377441
173,720.601074219
174,950.689086914
175,801.285583496
176,763.316711426
177,794.651977539
178,764.497314453
179,844.732116699
180,792.640441895
181,872.850341797
182,846.555603027
183,750.625061035
184,731.45513916
185,639.870605469
186,745.651916504
187,695.277526855
188,765.054870605
189,809.989746094
190,719.860290527
191,701.733032227
192,656.290466309
193,743.674377441
194,676.606018066
195,718.800842285
196,603.920654297
197,736.273803711
198,696.241760254
199,655.757873535
200,703.048950195
201,654.126403809
202,684.99621582
203,712.96081543
204,625.147583008
205,695.711364746
206,786.089294434
207,659.375610352
208,746.932373047
209,761.924987793
210,711.747436523
211,795.508850098
212,699.831115723
213,605.314025879
214,730.714599609
215,695.650878906
216,786.502441406
217,689.791320801
218,599.241699219
219,629.385009766
220,709.41418457
221,772.921630859
222,677.659362793
223,656.458679199
224,660.826660156
225,600.416931152
226,626.915466309
227,566.153320312
228,596.268615723
229,596.954528809
230,711.623840332
231,608.88293457
232,718.300598145
233,632.240356445
234,595.839233398
235,710.394165039
236,575.981567383
237,727.74621582
238,576.793457031
239,705.974304199
240,623.586364746
241,585.807434082
242,620.479492188
243,611.299621582
244,645.960876465
245,569.728637695
246,603.246032715
247,513.975952148
248,552.888793945
249,637.669311523
250,617.068725586
251,574.67376709
252,635.983703613
253,591.223388672
254,569.127807617
255,564.517578125
256,607.332885742
257,674.911132812
258,545.93145752
259,738.574768066
260,596.144714355
261,556.643737793
262,548.218444824
263,514.685974121
264,631.835144043
265,544.767150879
266,578.73425293
267,523.651611328
268,537.70715332
269,493.468444824
270,534.537414551
271,552.531921387
272,573.987487793
273,623.528625488
274,548.797851562
275,549.582214355
276,563.026733398
277,641.714294434
278,622.643005371
279,610.923095703
280,597.99621582
281,563.18359375
282,512.062683105
283,524.379699707
284,555.907897949
285,527.49609375
286,529.059326172
287,616.57019043
288,524.998413086
289,668.879821777
290,614.608886719
291,579.952026367
292,565.51373291
293,491.281677246
294,581.996582031
295,548.850830078
296,514.749206543
297,521.073120117
298,470.658294678
299,550.564697266
300,485.526275635
301,473.212921143
302,546.749389648
303,468.47064209
304,530.08795166
305,534.147766113
306,455.536895752
307,559.536193848
308,497.259796143
309,474.421112061
310,469.267181396
311,518.782287598
312,423.496490479
313,460.418518066
314,485.978851318
315,556.874084473
316,488.478820801
317,442.659240723
318,440.352966309
319,535.877563477
320,429.212249756
321,589.05645752
322,491.645629883
323,578.922546387
324,489.253997803
325,615.450134277
326,497.727111816
327,618.404785156
328,556.989501953
329,492.250732422
330,577.571166992
331,615.676086426
332,479.359558105
333,575.023864746
334,638.089111328
335,473.695129395
336,625.741210938
337,528.386962891
338,598.818664551
339,596.081237793
340,488.057800293
341,531.796081543
342,583.232116699
343,521.704284668
344,486.307495117
345,513.964538574
346,638.652038574
347,470.465026855
348,484.052032471
349,473.815887451
350,451.542663574
351,422.900360107
352,454.591278076
353,487.572113037
354,447.413787842
355,484.042938232
356,534.015319824
357,504.947357178
358,463.477478027
359,462.753387451
360,437.881408691
361,479.542816162
362,420.76071167
363,498.949920654
364,439.594177246
365,433.752990723
366,404.218811035
367,446.57611084
368,459.417358398
369,481.560943604
370,434.361450195
371,461.344970703
372,405.037078857
373,419.246765137
374,475.341247559
375,489.047607422
376,460.550537109
377,457.128601074
378,468.089752197
379,476.923309326
380,478.825286865
381,443.5362854
382,416.300689697
383,551.024841309
384,437.550354004
385,456.416534424
386,571.723327637
387,437.131958008
388,427.931884766
389,462.18182373
390,452.30380249
391,419.392059326
392,527.638061523
393,432.40625
394,467.790130615
395,495.717895508
396,472.967102051
397,511.630249023
398,382.421051025
399,548.120788574
400,434.649871826
401,415.931762695
402,419.768432617
403,427.121856689
404,419.939117432
405,378.347869873
406,440.373016357
407,426.167114258
408,404.829193115
409,400.401397705
410,420.725708008
411,405.618560791
412,455.539367676
413,407.62008667
414,446.434997559
415,389.242462158
416,402.993164062
417,407.222320557
418,443.669708252
419,438.16583252
420,391.850158691
421,412.660400391
422,452.50668335
423,418.253326416
424,441.719390869
425,408.012451172
426,396.181182861
427,376.858947754
428,412.702697754
429,466.371459961
430,395.57925415
431,416.963226318
432,443.295166016
433,465.493896484
434,450.576843262
435,468.977203369
436,399.406799316
437,395.726959229
438,498.519042969
439,516.72454834
440,393.558746338
441,467.624725342
442,424.130462646
443,418.897491455
444,412.683441162
445,442.915679932
446,418.076904297
447,446.991119385
448,455.256164551
449,415.227996826
450,479.093322754
451,492.918884277
452,372.799682617
453,410.692230225
454,439.449157715
455,407.67388916
456,421.718536377
457,417.979827881
458,400.563751221
459,465.527099609
460,475.101928711
461,437.115264893
462,404.952270508
463,407.175079346
464,415.697875977
465,407.742797852
466,442.354400635
467,378.470001221
468,439.411132812
469,362.722015381
470,395.196044922
471,407.290405273
472,454.99697876
473,411.320526123
474,391.954040527
475,385.223846436
476,386.22644043
477,408.373901367
478,377.156402588
479,401.362609863
480,360.22857666
481,394.623474121
482,443.064575195
483,335.507568359
484,402.214996338
485,422.24005127
486,402.249603271
487,333.550109863
488,368.729125977
489,380.807983398
490,355.502227783
491,341.217712402
492,376.558105469
493,322.386230469
494,351.764801025
495,329.737365723
496,361.798797607
497,329.547363281
498,411.514587402
499,407.099304199
500,335.928588867
501,444.355773926
502,381.472961426
503,345.303100586
504,461.289123535
505,388.353057861
506,411.628387451
507,431.265380859
508,350.504486084
509,391.168823242
510,381.489562988
511,318.80065918
512,391.50491333
513,376.101654053
514,367.290466309
515,359.133300781
516,362.891876221
517,327.255310059
518,337.651031494
519,418.243621826
520,415.444702148
521,356.39855957
522,364.093200684
523,382.064453125
524,372.838195801
525,318.409240723
526,402.10647583
527,318.841766357
528,389.420013428
529,372.064239502
530,348.548706055
531,389.797973633
532,328.907287598
533,385.887481689
534,318.667419434
535,340.372924805
536,332.653900146
537,338.205596924
538,384.198822021
539,340.800140381
540,379.279510498
541,364.760559082
542,297.804260254
