itr,loss
0,5793.58984375
1,3048.96411133
2,2995.359375
3,2733.8293457
4,2348.65576172
5,2261.43164062
6,2060.69604492
7,1917.08300781
8,1914.58398438
9,2086.85449219
10,1773.23181152
11,1700.00500488
12,1803.43518066
13,1903.1060791
14,1696.18493652
15,1596.16455078
16,1673.71508789
17,1755.19348145
18,1688.78222656
19,1600.08935547
20,1594.07897949
21,1542.63134766
22,1425.03503418
23,1592.38391113
24,1364.54492188
25,1389.35778809
26,1493.32995605
27,1458.32348633
28,1462.3248291
29,1359.90332031
30,1325.90100098
31,1299.76428223
32,1391.84631348
33,1405.02587891
34,1336.85241699
35,1388.65686035
36,1319.31005859
37,1228.72277832
38,1398.12561035
39,1353.74291992
40,1363.5637207
41,1336.63720703
42,1290.18505859
43,1212.26977539
44,1193.27441406
45,1236.37255859
46,1358.33642578
47,1134.01672363
48,1253.38415527
49,1105.07348633
50,1205.38745117
51,1181.65234375
52,1213.92138672
53,1106.10681152
54,1099.84179688
55,982.048461914
56,1036.79333496
57,1176.38830566
58,991.969177246
59,1177.06030273
60,1122.18615723
61,1229.1685791
62,997.738952637
63,985.444458008
64,956.018127441
65,1033.29101562
66,976.978088379
67,1011.73126221
68,1010.6439209
69,966.391662598
70,1114.36242676
71,971.404968262
72,1131.62976074
73,1043.11853027
74,971.056518555
75,1016.4967041
76,902.0078125
77,1123.83862305
78,964.244384766
79,914.206665039
80,786.680725098
81,924.699829102
82,876.152832031
83,942.592224121
84,831.467956543
85,921.325927734
86,842.207519531
87,818.08795166
88,831.854187012
89,903.161560059
90,801.814697266
91,836.352905273
92,753.818237305
93,833.004882812
94,880.062072754
95,887.29699707
96,837.960327148
97,864.905761719
98,838.866149902
99,721.534423828
100,770.497924805
101,698.840698242
102,773.214294434
103,760.414672852
104,825.835388184
105,754.71697998
106,770.848449707
107,822.234985352
108,787.191772461
109,777.685974121
110,783.603881836
111,698.877563477
112,764.083862305
113,719.979187012
114,847.032714844
115,755.452331543
116,862.782592773
117,743.759277344
118,764.799621582
119,741.837524414
120,716.339538574
121,757.467773438
122,719.964599609
123,701.871276855
124,708.033752441
125,688.285888672
126,683.609069824
127,645.321472168
128,687.562255859
129,656.295227051
130,684.811035156
131,653.862731934
132,669.2265625
133,638.03112793
134,667.789794922
135,699.210693359
136,634.426330566
137,677.693481445
138,610.837280273
139,630.270019531
140,627.332458496
141,593.901794434
142,618.347961426
143,633.600158691
144,584.50604248
145,610.938903809
146,611.393798828
147,619.235717773
148,613.110839844
149,559.163696289
150,580.60534668
151,617.688598633
152,577.034606934
153,624.368591309
154,634.217407227
155,571.747314453
156,569.394775391
157,583.776733398
158,562.428161621
159,643.253601074
160,630.72052002
161,552.657714844
162,586.043395996
163,530.538391113
164,568.441711426
165,546.078613281
166,592.413269043
167,578.965881348
168,519.745910645
169,518.72845459
170,493.199035645
171,487.984069824
172,517.255249023
173,470.874938965
174,509.06463623
175,518.407470703
176,469.65914917
177,576.661376953
178,490.697998047
179,509.923431396
180,529.167480469
181,526.053894043
182,544.277954102
183,500.648376465
184,532.917480469
185,567.994506836
186,485.859375
187,487.661621094
188,502.419433594
189,488.643310547
190,475.203735352
191,495.823425293
192,492.983703613
193,519.839904785
194,528.327026367
195,500.138885498
196,490.773620605
197,437.952026367
198,477.714630127
199,478.592590332
200,438.350036621
201,472.500640869
202,458.236083984
203,500.761932373
204,509.446075439
205,538.070373535
206,418.632598877
207,520.650878906
208,436.160766602
209,457.592651367
210,424.922790527
211,484.961761475
212,416.285339355
213,400.443481445
214,430.232574463
215,468.495697021
216,423.246917725
217,448.937866211
218,454.041870117
219,374.310852051
220,453.133605957
221,472.338134766
222,414.420440674
223,381.26361084
224,408.278839111
225,416.946716309
226,406.428527832
227,388.033203125
228,455.300567627
229,495.835601807
230,409.601623535
231,412.361053467
232,433.071380615
233,408.736877441
234,436.296356201
235,413.570892334
236,396.127807617
237,433.662078857
238,356.024414062
239,411.240661621
240,398.595336914
241,443.970825195
242,486.094818115
243,470.787628174
244,433.10824585
245,384.672698975
246,424.394287109
247,406.164459229
248,457.9324646
249,421.663543701
