itr,loss
0,10550.6894531
1,5603.14208984
2,6038.41308594
3,5171.64111328
4,5111.93945312
5,5202.71386719
6,4605.890625
7,4364.54003906
8,4419.90771484
9,4451.18164062
10,4138.22314453
11,4373.86962891
12,4296.65380859
13,4151.2421875
14,4129.73876953
15,4286.54443359
16,4057.97363281
17,3954.78735352
18,3805.86694336
19,4036.58813477
20,3750.51928711
21,3397.35961914
22,3644.48999023
23,3725.12646484
24,3798.02099609
25,3581.95629883
26,3487.390625
27,3556.52612305
28,3463.74804688
29,3627.1887207
30,3525.55908203
31,3635.01416016
32,3196.16992188
33,3924.44165039
34,3504.68139648
35,3544.58276367
36,3846.33569336
37,3296.78686523
38,3452.64990234
39,3398.56665039
40,3460.14599609
41,3232.16601562
42,3346.23876953
43,3052.64135742
44,3322.65893555
45,3230.48168945
46,3118.62866211
47,3392.55175781
48,3041.9987793
49,3179.51782227
50,3116.609375
51,3020.04052734
52,3213.58374023
53,3196.62866211
54,3176.11181641
55,3408.27636719
56,2771.7019043
57,3210.95043945
58,3463.78710938
59,2711.98876953
60,3051.18969727
61,3140.16699219
62,2995.33959961
63,3028.68774414
64,2801.91308594
65,2878.84130859
66,2578.49560547
67,2892.72460938
68,2715.21948242
69,2894.49951172
70,2738.24536133
71,2951.29760742
72,2774.9296875
73,2688.109375
74,2745.68212891
75,2571.05615234
76,2643.94042969
77,2535.17724609
78,2629.88208008
79,2703.59594727
80,2538.1550293
81,2526.53979492
82,2531.87329102
83,2447.11523438
84,2929.61401367
85,2746.78295898
86,2500.76806641
87,2331.99072266
88,2973.90136719
89,2331.68920898
90,2447.12475586
91,2462.01708984
92,2259.38256836
93,2601.9909668
94,2536.46801758
95,2234.7487793
96,2334.44238281
97,2228.4152832
98,2419.26855469
99,2041.19921875
100,2116.10180664
101,2182.27636719
102,2276.96044922
103,2445.1550293
104,2221.76953125
105,2089.43920898
106,2488.40087891
107,2332.36450195
108,1903.67724609
109,2249.47045898
110,2186.48461914
111,2098.15625
112,2298.59936523
113,2092.54980469
114,2068.63208008
115,2067.74609375
116,2012.66577148
117,1992.34997559
118,2224.66625977
119,2030.3692627
120,2076.82641602
121,1840.21105957
122,2228.76928711
123,1976.03723145
124,1908.3125
125,1925.0480957
126,2064.08105469
127,1888.6270752
128,1874.20947266
129,1946.65686035
130,1842.51855469
131,1807.66394043
132,1753.76147461
133,1917.11108398
134,1937.89013672
135,1931.51171875
136,1769.95141602
137,1879.43823242
138,1881.82922363
139,1772.05053711
140,2079.12866211
141,1868.33752441
142,2113.58447266
143,1757.51782227
144,1831.23974609
145,1878.89257812
146,1892.55761719
147,1870.15576172
148,1909.94873047
149,2094.8527832
150,1764.92041016
151,2028.84399414
152,1804.9934082
153,2016.75488281
154,1678.36047363
155,1818.73254395
156,1752.78820801
157,1885.4185791
158,1800.86743164
159,1764.30444336
160,1810.95715332
161,1730.82543945
162,1720.29016113
163,1814.19030762
164,1747.8470459
165,1812.02783203
166,1713.17443848
167,1734.75048828
168,1695.50366211
169,1580.72021484
170,1640.15234375
171,1740.03369141
172,1729.8145752
173,1570.43017578
174,1663.49157715
175,1591.72387695
176,1612.98046875
177,1636.73583984
178,1606.02758789
179,1593.3536377
180,1668.24780273
181,1540.11987305
182,1737.05480957
183,1579.1739502
184,1712.88464355
185,1644.95471191
186,1662.00720215
187,1694.20166016
188,1599.68139648
189,1801.53430176
190,1505.85021973
191,1730.16235352
192,1552.31506348
193,1547.99694824
194,1518.61181641
195,1495.83410645
196,1445.64343262
197,1595.60534668
198,1524.51696777
199,1569.76147461
200,1475.5715332
201,1446.36499023
202,1500.90563965
203,1454.41381836
204,1471.25500488
205,1612.86828613
206,1486.34558105
207,1466.37304688
208,1487.48718262
209,1472.2980957
210,1486.85620117
211,1446.0012207
212,1508.95092773
213,1440.20849609
214,1454.3034668
215,1583.96032715
216,1469.48620605
217,1481.19848633
218,1443.44116211
219,1460.09814453
220,1491.55981445
221,1417.19226074
222,1463.25024414
223,1471.50415039
224,1424.2545166
225,1501.09130859
226,1428.19091797
227,1662.11303711
228,1449.04516602
229,1676.42138672
230,1454.38122559
231,1490.4161377
232,1384.04724121
233,1540.83666992
234,1497.70092773
235,1622.93920898
236,1315.32824707
237,1486.89038086
238,1463.37878418
239,1500.83056641
240,1508.37597656
241,1434.27160645
242,1435.57922363
243,1353.3996582
244,1546.47692871
245,1342.61767578
246,1496.01220703
247,1408.53198242
248,1422.00720215
249,1396.83703613
250,1363.61608887
251,1398.13928223
252,1433.17578125
253,1442.65661621
254,1377.31811523
255,1316.42260742
256,1400.81665039
257,1370.80566406
258,1458.70678711
259,1358.6986084
260,1368.05236816
261,1479.19494629
262,1341.46862793
263,1354.85583496
264,1345.19238281
265,1400.63012695
266,1384.5435791
267,1362.43933105
268,1369.18041992
269,1411.12353516
270,1344.74267578
271,1313.38647461
272,1315.55932617
273,1406.48376465
274,1346.90087891
275,1453.63708496
276,1294.09191895
277,1296.01062012
278,1453.12280273
279,1333.81518555
280,1372.0579834
281,1329.74389648
282,1408.30163574
283,1332.10266113
284,1309.2253418
285,1261.93017578
286,1331.94311523
287,1365.42907715
288,1375.4597168
289,1294.92932129
290,1419.39440918
291,1370.13208008
292,1420.44091797
293,1387.01574707
294,1400.09985352
295,1280.25134277
296,1389.10534668
297,1303.04907227
298,1383.78979492
299,1331.45727539
300,1286.09216309
301,1371.91271973
302,1300.04577637
303,1281.02526855
304,1278.53527832
305,1319.79077148
306,1344.55566406
307,1220.9284668
308,1292.13574219
309,1316.37426758
310,1242.78552246
311,1289.31079102
312,1389.22973633
313,1361.80859375
314,1243.3380127
315,1291.99279785
316,1376.32885742
317,1420.9206543
318,1310.50769043
319,1383.44726562
320,1389.05712891
321,1239.43005371
322,1181.66638184
323,1234.36523438
324,1304.43701172
325,1311.55603027
326,1285.53674316
327,1342.7532959
328,1312.25964355
329,1315.40014648
330,1261.70080566
331,1329.56420898
332,1280.56677246
333,1373.93603516
334,1344.97351074
335,1359.27050781
336,1195.05883789
337,1380.51611328
338,1271.09973145
339,1595.83459473
340,1408.88525391
341,1277.00231934
342,1401.89367676
343,1253.56152344
344,1387.18713379
345,1291.90124512
346,1375.40966797
347,1225.61291504
348,1341.5333252
349,1296.02697754
350,1260.49609375
351,1299.99121094
352,1263.11157227
353,1359.81848145
354,1333.40771484
355,1253.3659668
356,1222.36132812
357,1343.25793457
358,1190.97363281
359,1385.24768066
360,1269.07849121
361,1363.57824707
362,1247.63977051
363,1294.90576172
364,1265.89709473
365,1302.27587891
366,1252.73608398
367,1382.40966797
368,1295.11791992
369,1255.73815918
370,1243.23510742
371,1296.43017578
372,1242.28149414
373,1279.65466309
374,1192.57751465
375,1297.10083008
376,1233.96813965
377,1239.11132812
378,1314.87219238
379,1288.42773438
380,1312.06958008
381,1259.9744873
382,1190.36901855
383,1274.39904785
384,1254.16174316
385,1223.43151855
386,1282.40600586
387,1293.68811035
388,1278.71838379
389,1171.8840332
390,1271.07299805
391,1227.20117188
392,1218.11975098
393,1282.36230469
394,1203.56433105
395,1235.35107422
396,1188.16088867
397,1269.94018555
398,1245.40515137
399,1244.82397461
400,1313.10949707
401,1152.8560791
402,1239.74401855
403,1096.64257812
404,1191.30383301
405,1169.34301758
406,1145.87243652
407,1224.30322266
408,1203.86657715
409,1236.13378906
410,1206.08215332
411,1236.8013916
412,1202.21386719
413,1202.58044434
414,1249.7755127
415,1187.8939209
416,1177.48022461
417,1287.58276367
418,1185.88232422
419,1243.1829834
420,1265.22167969
421,1250.6418457
422,1222.83337402
423,1080.41552734
424,1257.66308594
425,1192.60083008
426,1175.45910645
427,1089.12121582
428,1205.80834961
429,1168.34558105
430,1290.77282715
431,1179.84472656
432,1179.88806152
433,1183.10717773
434,1148.49755859
435,1145.33093262
436,1094.68188477
437,1296.57092285
438,1123.10095215
439,1204.79394531
440,1264.51831055
441,1219.03540039
442,1186.31066895
443,1215.84655762
444,1127.38842773
445,1155.05041504
446,1255.25683594
447,1184.47021484
448,1221.24707031
449,1180.91882324
450,1232.94604492
451,1139.96838379
452,1128.73474121
453,1159.15258789
454,1161.14233398
455,1247.54064941
456,1118.2142334
457,1223.74414062
458,1207.63781738
459,1279.2902832
460,1165.5682373
461,1293.61376953
462,1137.73425293
463,1270.32128906
464,1229.13256836
465,1158.05541992
466,1163.96228027
467,1150.35412598
468,1259.8001709
469,1231.96374512
470,1256.69555664
471,1151.38085938
472,1180.76306152
473,1232.63012695
474,1232.82861328
