itr,loss
0,5006.10644531
1,4031.10424805
2,3892.2265625
3,3701.52856445
4,3431.17504883
5,3285.73925781
6,3096.11376953
7,2695.40625
8,3767.46801758
9,2680.15332031
10,2863.92358398
11,3695.71679688
12,2730.44702148
13,2959.43066406
14,2450.01074219
15,2626.16113281
16,3178.94946289
17,2659.93945312
18,2788.26196289
19,2852.43212891
20,2888.03344727
21,2763.11010742
22,3330.26928711
23,2862.98388672
24,2521.46191406
25,3043.24291992
26,3008.44970703
27,2809.33203125
28,2497.86010742
29,2503.54516602
30,2551.00610352
31,2126.41699219
32,2216.05175781
33,2524.46508789
34,2860.63037109
35,2970.74047852
36,2445.4128418
37,3077.70239258
38,2691.68920898
39,2571.88818359
40,2315.85400391
41,2507.03710938
42,2099.03564453
43,2581.20483398
44,2672.60449219
45,2877.96923828
46,2394.40844727
47,2360.31494141
48,2301.22875977
49,2404.85620117
50,2155.36572266
51,2599.98657227
52,2409.15087891
53,2816.09399414
54,2574.86938477
55,2097.64086914
56,2397.12036133
57,2281.81201172
58,2952.3269043
59,2446.49047852
60,2309.34399414
61,2316.32104492
62,2909.77246094
63,2712.3215332
64,2019.4954834
65,2059.32958984
66,1855.66162109
67,1933.19152832
68,1928.28063965
69,2942.22949219
70,1856.59606934
71,2156.10009766
72,1876.96691895
73,2500.88647461
74,2022.81677246
75,2617.35644531
76,2218.6862793
77,1856.13061523
78,1867.50341797
79,2381.76049805
80,2231.18286133
81,2933.88208008
82,2204.0480957
83,1695.29956055
84,1677.86193848
85,1517.63879395
86,2154.62402344
87,1510.08972168
88,1754.83056641
89,1482.51855469
90,3046.51489258
91,1837.99609375
92,1723.04638672
93,1786.21459961
94,2261.26733398
95,1643.12463379
96,2769.15991211
97,1436.48779297
98,1429.13793945
99,2342.77783203
100,2481.26464844
101,1761.20043945
102,1258.33886719
103,2528.42602539
104,1519.67272949
105,1570.17089844
106,1897.78747559
107,1528.71984863
108,1455.68078613
109,1255.2487793
110,1929.80102539
111,1644.90881348
112,1606.77124023
113,2358.19897461
114,1248.33374023
115,2290.99023438
116,1652.70666504
117,1370.1517334
118,2737.22875977
119,2171.93994141
120,2671.6640625
121,1740.5592041
122,2350.14575195
123,1670.22155762
124,1975.67285156
125,2229.30737305
126,1813.87756348
127,2158.24829102
128,1424.19775391
129,1434.14587402
130,1561.94812012
131,1315.96862793
132,1303.00158691
133,1394.06799316
134,1987.66320801
135,1976.10217285
136,1339.28808594
137,1329.5144043
138,1359.90075684
139,1270.296875
140,1893.95666504
141,1381.46716309
142,1828.21789551
143,1188.06713867
144,1087.13891602
145,1131.91296387
146,1354.12792969
147,1086.16442871
148,1972.72485352
149,1223.08837891
150,1225.7121582
151,1688.20507812
152,1103.31481934
153,1814.61486816
154,1801.7467041
155,2216.76538086
156,2213.14526367
157,1766.38806152
158,1100.78039551
159,1222.24780273
160,1882.19824219
161,1395.62243652
162,1593.97485352
163,1118.15686035
164,1096.44958496
165,1156.28430176
166,1744.21240234
167,1209.49511719
168,1548.26831055
169,1897.39819336
170,1662.97521973
171,1343.96740723
172,1010.37078857
173,1288.43566895
174,1406.31945801
175,2162.49755859
176,1141.97216797
177,1150.32995605
178,2031.42053223
179,1683.4387207
180,1813.02612305
181,1170.02636719
182,1393.55651855
183,1817.84020996
184,1067.84814453
185,1070.40966797
186,934.705627441
187,1555.24755859
188,2550.97875977
189,1886.96911621
190,1425.69177246
191,1224.87744141
192,1529.7421875
193,3303.76269531
194,1615.61230469
195,1514.57897949
196,1125.06311035
197,1401.53259277
198,2395.45654297
199,1417.60351562
200,1672.63952637
201,1589.82189941
202,1455.57312012
203,1899.04931641
204,2118.43408203
205,1025.51708984
206,957.720825195
207,1020.88781738
208,1049.1036377
209,1108.88256836
210,1427.38293457
211,1182.31628418
212,1933.87365723
213,823.793762207
214,1582.23913574
215,1353.65283203
216,771.582275391
217,1131.51660156
218,1182.18859863
219,952.337341309
220,836.843200684
221,836.915222168
222,843.561523438
223,1281.01672363
224,820.081237793
225,1459.21130371
226,1312.27099609
227,1002.36468506
228,896.291870117
229,872.722839355
230,1519.54260254
231,962.255859375
232,1362.35534668
233,1574.4954834
234,915.816833496
235,1694.38781738
236,1672.51867676
237,910.890441895
238,1402.43054199
239,1553.32019043
240,997.068847656
241,911.440612793
242,823.181152344
243,1041.62011719
244,975.656921387
245,1501.49072266
246,1068.36437988
247,996.278259277
248,1308.16894531
249,1723.80078125
250,1387.57006836
251,1303.66748047
252,1193.91540527
253,1537.13916016
254,778.906738281
255,1008.5291748
256,755.919311523
257,804.209899902
258,890.113342285
259,877.251708984
260,930.791320801
261,792.665893555
262,978.227905273
