itr,loss
0,6373.35595703
1,3842.34985352
2,3835.05102539
3,3393.84423828
4,3341.69824219
5,3006.06152344
6,2740.78149414
7,2495.23217773
8,2580.84716797
9,2263.7265625
10,2177.28125
11,2046.11096191
12,2163.86645508
13,2356.16967773
14,2237.30175781
15,2116.02099609
16,2100.15087891
17,2075.11083984
18,1991.85583496
19,1916.79333496
20,1870.36914062
21,1957.97473145
22,1901.24462891
23,2016.21337891
24,1938.34143066
25,1798.18811035
26,2117.04296875
27,1791.2701416
28,1997.3458252
29,1681.63220215
30,1715.71557617
31,1838.73156738
32,1673.67590332
33,1737.78540039
34,1723.9921875
35,1624.15808105
36,1682.52844238
37,1669.51672363
38,1513.81298828
39,1655.97546387
40,1769.08532715
41,1565.06787109
42,1574.48974609
43,1468.41748047
44,1668.04943848
45,1543.09533691
46,1496.19812012
47,1682.59484863
48,1368.78967285
49,1490.57275391
50,1452.04907227
51,1409.63684082
52,1491.76000977
53,1419.81079102
54,1318.6574707
55,1332.03747559
56,1336.27734375
57,1346.57897949
58,1267.76525879
59,1176.34228516
60,1353.63781738
61,1257.31726074
62,1297.25500488
63,1231.21496582
64,1291.84375
65,1208.85498047
66,1407.0925293
67,1236.94641113
68,1346.80041504
69,1236.50170898
70,1206.59020996
71,1257.09838867
72,1230.59875488
73,1167.39916992
74,1258.61669922
75,1235.5612793
76,1250.75488281
77,1141.34509277
78,1170.46508789
79,1150.17224121
80,1246.66772461
81,1331.78381348
82,1283.07653809
83,1182.33422852
84,1197.5916748
85,1181.44067383
86,1263.31433105
87,1144.24621582
88,1150.56738281
89,1247.20861816
90,1113.53125
91,1152.66381836
92,1212.55224609
93,1121.15222168
94,1273.58959961
95,1139.38269043
96,1176.49597168
97,1116.07104492
98,1059.38977051
99,1070.90869141
100,1175.38623047
101,1250.91003418
102,1138.56237793
103,1102.07763672
104,1140.02026367
105,998.043884277
106,1192.11181641
107,1044.8416748
108,1076.03637695
109,1123.99133301
110,1083.40112305
111,1000.6463623
112,1123.37365723
113,1056.21569824
114,1011.95532227
115,1094.31945801
116,1010.49389648
117,1111.70983887
118,1032.64697266
119,1079.25537109
120,1068.78552246
121,1139.49621582
122,1182.80517578
123,1002.465271
124,1237.25073242
125,1021.54852295
126,1100.1763916
127,1049.92712402
128,1200.22595215
129,1157.08837891
130,1083.23486328
131,1203.0657959
132,1043.75537109
133,1162.80566406
134,1061.51037598
135,1063.19970703
136,999.715393066
137,1062.09533691
138,1003.92425537
139,1053.10546875
140,1046.07788086
141,1024.23339844
142,1001.3637085
143,969.289733887
144,993.187194824
145,1192.54370117
146,974.849731445
147,967.407775879
148,1053.75378418
149,976.959838867
150,967.132446289
151,1030.22888184
152,970.374938965
153,1021.33947754
154,999.315490723
155,990.769348145
156,1001.5848999
157,957.989624023
158,876.854797363
159,943.625061035
160,997.181091309
161,1021.73858643
162,972.877258301
163,990.973327637
164,932.048217773
165,977.397888184
166,971.043579102
167,976.854309082
168,897.700683594
169,965.540893555
170,1052.10522461
171,921.380065918
172,836.102050781
173,990.412841797
174,911.302856445
175,907.104858398
176,868.830993652
177,897.603942871
178,935.910400391
179,867.107299805
180,914.01953125
181,850.163574219
182,952.015808105
183,919.770629883
184,951.20111084
185,856.784790039
186,844.489746094
187,837.05456543
188,898.796386719
189,859.841125488
190,840.70526123
191,880.481872559
192,837.108215332
193,893.926940918
194,865.907165527
195,931.934753418
196,841.713745117
197,903.877929688
198,835.471679688
199,848.177307129
200,881.340698242
201,832.931152344
202,816.474853516
203,829.128356934
204,779.081726074
205,854.817016602
206,838.180114746
207,830.885498047
208,837.85357666
209,872.908813477
210,862.908630371
211,801.132995605
212,842.32989502
213,930.137512207
214,822.046936035
215,787.782653809
216,831.574157715
217,827.733337402
218,841.498779297
219,794.229370117
220,889.191955566
221,827.607116699
222,855.320800781
223,872.012329102
224,773.000793457
225,831.613464355
226,877.929260254
227,737.635131836
228,813.71282959
229,874.74822998
230,776.249938965
231,797.483764648
232,822.199829102
233,855.982299805
234,839.923156738
235,756.479248047
236,836.702392578
237,766.248413086
238,800.32598877
