itr,loss
0,5559.53222656
1,4077.71337891
2,3836.63623047
3,3607.77685547
4,3654.36987305
5,3594.53320312
6,3097.26733398
7,2963.4230957
8,3188.08398438
9,2928.67529297
10,2807.43945312
11,2770.58496094
12,2608.18408203
13,2634.50170898
14,2409.93920898
15,2640.13232422
16,2572.95703125
17,2821.98681641
18,2882.59643555
19,2706.95800781
20,2592.72460938
21,2642.52612305
22,2335.71191406
23,2668.87792969
24,2649.13696289
25,2439.42211914
26,2234.49902344
27,2790.21704102
28,2996.03442383
29,2246.57397461
30,2427.88378906
31,2493.57788086
32,2338.12597656
33,2422.4375
34,2705.62866211
35,2245.09790039
36,2464.55126953
37,2374.43261719
38,2448.09008789
39,2299.6706543
40,2376.56103516
41,2354.82250977
42,2115.37915039
43,2185.44458008
44,2322.39916992
45,2272.02050781
46,2100.60424805
47,2294.76391602
48,2419.40625
49,2032.34521484
50,2287.84033203
51,2070.95214844
52,2312.92871094
53,1977.80310059
54,2103.19433594
55,2014.83227539
56,2036.78234863
57,1825.65405273
58,2613.6171875
59,2193.53320312
60,2054.31860352
61,2122.45678711
62,2188.4753418
63,1608.17810059
64,2132.39208984
65,2103.2355957
66,2231.31152344
67,1965.90881348
68,2264.81567383
69,1971.44262695
70,2230.7355957
71,1715.49108887
72,2081.92871094
73,1615.73815918
74,2098.76611328
75,1954.23132324
76,1634.6776123
77,1629.0958252
78,1837.97607422
79,1694.17114258
80,1597.76025391
81,1469.56774902
82,1634.96337891
83,1553.32543945
84,1638.2277832
85,1757.26794434
86,1591.03881836
87,1580.41320801
88,1459.33435059
89,1352.01538086
90,1592.11450195
91,1478.8795166
92,1245.18383789
93,1352.50634766
94,1411.84680176
95,1346.01428223
96,1424.16430664
97,1347.48291016
98,1371.5814209
99,1269.37792969
100,1433.4465332
101,1335.98486328
102,1314.6907959
103,1401.02185059
104,1204.02514648
105,1434.74414062
106,1316.04382324
107,1155.40075684
108,1197.03479004
109,1285.84338379
110,1262.99560547
111,1398.84130859
112,1101.60546875
113,1296.7265625
