itr,loss
0,5944.71826172
1,4868.07666016
2,5667.20996094
3,5382.20703125
4,4492.67919922
5,4672.64111328
6,4499.73583984
7,4355.33203125
8,4220.21337891
9,4492.08056641
10,4110.77392578
11,4566.01464844
12,4249.37548828
13,4329.77880859
14,4240.45410156
15,4450.47949219
16,4093.70385742
17,3940.47705078
18,4373.265625
19,4013.3581543
20,4318.65820312
21,4317.16552734
22,4665.74267578
23,3969.15136719
24,3988.52612305
25,3789.28833008
26,4526.54492188
27,3935.38256836
28,4461.1953125
29,4238.36914062
30,4482.51611328
31,3854.91918945
32,4124.24414062
33,4058.46044922
34,4525.70068359
35,4090.64257812
36,4040.08935547
37,3844.06176758
38,4128.52441406
39,4302.51123047
40,4204.94238281
41,4113.67822266
42,3996.21386719
43,4559.171875
44,4190.81542969
45,4032.09008789
46,3855.51245117
47,3831.97607422
48,4150.37109375
49,3908.37060547
50,3858.43359375
51,3782.79248047
52,3414.20874023
53,4446.63378906
54,3918.11645508
55,4111.26708984
56,4312.40332031
57,3727.19555664
58,3977.2265625
59,3908.73413086
60,3787.67919922
61,4206.19287109
62,3945.89501953
63,3727.36083984
64,3662.87719727
65,3484.87939453
66,4299.51855469
67,4007.68066406
68,4228.70263672
69,4556.70751953
70,4325.73535156
71,4305.56347656
72,4017.66943359
73,3888.19555664
74,4338.86328125
75,4056.39404297
76,4110.49755859
77,3725.41479492
78,3425.9543457
79,3735.03417969
80,4729.25292969
81,4598.12841797
82,3918.40698242
83,3978.68457031
84,4185.86083984
85,3902.40942383
86,3714.25708008
87,4305.57177734
88,3928.48168945
89,4151.44628906
90,4282.25878906
91,4070.93676758
92,3715.33740234
93,3470.68188477
94,3872.82983398
95,3891.79467773
96,4154.47021484
97,3880.83764648
98,3928.14160156
99,3780.62963867
100,3996.74121094
101,3874.37963867
102,4004.2355957
103,3826.78515625
104,4199.68847656
105,4045.09716797
106,3770.95458984
107,4521.65283203
108,4350.3046875
109,3559.50830078
110,3939.5637207
111,4097.98632812
112,3980.67211914
113,3579.55883789
114,3560.71948242
115,3530.53955078
116,3668.64331055
117,3554.08349609
118,3620.92138672
119,3696.5402832
120,4104.62158203
121,4308.01855469
122,3810.56298828
123,4108.89892578
124,3784.17871094
125,3344.00732422
126,4392.01806641
127,3707.92504883
128,3265.21875
129,3847.76342773
130,3232.01782227
131,3466.82128906
132,3350.53369141
133,3511.40429688
134,3560.12988281
135,3588.33203125
136,3376.50683594
137,3669.0078125
138,3266.44213867
139,3624.60131836
140,3284.66210938
141,3425.18286133
142,3918.40380859
143,4316.51611328
144,3847.00219727
145,3213.14306641
146,3447.70678711
147,3926.80175781
148,3938.3112793
149,3382.40576172
150,3679.87792969
151,3315.40161133
152,4109.57958984
153,3774.23510742
154,3456.05810547
155,3037.46850586
156,3922.11425781
157,3305.625
158,3450.66186523
159,3280.67211914
160,2864.30639648
161,3183.95629883
162,4045.45385742
163,3462.44262695
164,2587.99511719
165,3537.69140625
166,3302.09936523
167,3316.97387695
168,3797.03955078
169,3159.13867188
170,3630.04223633
171,2788.28833008
172,2753.34936523
173,2547.40600586
174,3550.62060547
175,3233.18334961
176,4448.03076172
177,4007.61962891
178,3562.94750977
179,3163.04711914
180,3711.80493164
181,3228.03100586
182,3078.26196289
183,3425.45068359
184,3406.94482422
185,2975.14038086
186,3028.72412109
187,3377.12231445
188,3684.19726562
189,2831.79614258
190,2598.46948242
191,3345.23413086
192,3293.56860352
193,3593.36206055
194,3185.45751953
195,2499.13916016
196,2956.40234375
197,3034.95092773
198,2442.33276367
199,2637.87304688
200,3083.11523438
201,2840.33862305
202,3003.69067383
203,2284.55053711
204,2675.50463867
205,2481.49169922
206,2735.74121094
207,2610.98046875
208,2760.00756836
209,3061.85302734
210,1966.68737793
211,2623.52539062
212,2177.41821289
213,3223.74633789
214,2577.66650391
215,2480.32885742
216,2838.3359375
217,2914.26025391
218,3371.76342773
219,2847.37695312
220,2708.12866211
221,3068.33740234
222,2413.59912109
223,2631.48095703
224,3292.26318359
225,2764.45947266
226,3004.27661133
227,1888.12402344
228,2292.68920898
229,3025.71850586
230,2156.0859375
231,1946.12316895
232,2118.66235352
233,2337.16162109
234,2192.84619141
235,1841.87963867
236,3155.32495117
237,2169.71655273
238,1872.36425781
239,2457.91748047
240,1897.89453125
241,2475.79296875
242,2799.7434082
243,2352.35522461
244,1994.52954102
245,2392.1887207
246,3152.1105957
247,2306.30224609
248,2798.92114258
249,1797.47229004
250,3036.10546875
251,2433.84375
252,2586.77246094
