itr,loss
0,3669.01025391
1,3055.1328125
2,3081.14916992
3,3155.12963867
4,2914.91064453
5,2894.41210938
6,3284.38061523
7,2989.96191406
8,2685.63647461
9,3222.47680664
10,3347.65917969
11,2921.28271484
12,3061.96337891
13,3288.89331055
14,2967.48461914
15,2669.90307617
16,3056.11279297
17,2581.66357422
18,2923.72949219
19,3149.89624023
20,3215.10131836
21,3237.40405273
22,2875.59301758
23,2695.82104492
24,2764.08935547
25,2930.54663086
26,3204.74853516
27,2893.88769531
28,3126.62817383
29,2739.45678711
30,2867.49316406
31,3072.97314453
32,2920.23168945
33,2874.7824707
34,3236.44970703
35,2566.71557617
36,3070.45458984
37,2929.96899414
38,3127.14819336
39,2745.87255859
40,2950.31591797
41,2562.57421875
42,2980.80322266
43,3162.78637695
44,3355.46606445
45,3127.96142578
46,2993.43017578
47,3016.10693359
48,3064.09863281
49,2960.90478516
50,3060.55053711
51,2829.49975586
52,2621.27563477
53,3008.7644043
54,3188.08862305
55,2990.0065918
56,2821.01049805
57,2492.76611328
58,2942.14990234
59,2537.00317383
60,2609.38378906
61,3079.06860352
62,2725.26489258
63,2434.46557617
64,2583.0090332
65,2933.15014648
66,2490.78344727
67,2894.1027832
68,2488.03710938
69,3209.89428711
70,2743.37475586
71,2767.09814453
72,2191.52783203
73,2698.04272461
74,2373.13110352
75,3064.08520508
76,2832.40209961
77,3274.48046875
78,2585.03637695
79,2905.61303711
80,2927.37280273
81,2552.12573242
82,2493.48852539
83,2657.21630859
84,2615.13061523
85,2573.20727539
86,3090.9309082
87,2621.171875
88,2622.15478516
89,2891.02612305
90,2828.02246094
91,3261.25585938
92,2984.92602539
93,2554.33007812
94,2598.60302734
95,2567.16479492
96,2856.55200195
97,2820.29492188
98,2913.45214844
99,3091.91357422
100,2569.8503418
101,2659.96655273
102,2807.8347168
103,2937.3984375
104,3003.64672852
105,2455.18701172
106,2621.20361328
107,2859.94946289
108,2424.93334961
109,2316.90869141
110,2726.01635742
111,3146.04736328
112,2890.72583008
113,2092.57397461
114,2979.32739258
115,2283.23779297
116,2745.52783203
117,2684.94189453
118,2566.59106445
119,2357.02539062
120,2967.64501953
121,2813.43652344
122,2379.7902832
123,2575.74536133
124,2953.49804688
125,2457.45043945
126,2005.76757812
127,2157.86669922
128,2363.42431641
129,2634.44335938
130,2472.84130859
131,3339.69433594
132,2500.39428711
133,2646.47900391
134,2286.66918945
135,2009.07067871
136,2480.62915039
137,2795.49389648
138,2653.0065918
139,2697.55151367
140,2269.02685547
141,2862.18652344
142,2690.80810547
143,2651.82617188
144,2639.53100586
145,2428.94433594
146,3028.78808594
147,2712.54418945
148,2597.62133789
