itr,loss
0,5089.5
1,3993.68457031
2,4682.19042969
3,4590.03759766
4,4018.54101562
5,4428.35009766
6,4179.45410156
7,4184.85986328
8,4415.03271484
9,4607.85449219
10,4446.31054688
11,4204.41992188
12,4411.05029297
13,4218.52392578
14,4316.25146484
15,4141.10986328
16,4258.06201172
17,4166.72900391
18,4321.12109375
19,4101.40234375
20,4237.36425781
21,4398.41113281
22,4701.12939453
23,3949.34033203
24,4363.88183594
25,4302.06005859
26,4062.72143555
27,4590.92041016
28,4085.48461914
29,4292.73095703
30,3880.33129883
31,4235.61865234
32,4209.14257812
33,4072.3815918
34,4204.95703125
35,3881.37329102
36,4081.87768555
37,4314.14160156
38,4348.27294922
39,4184.95458984
40,3991.15136719
41,4050.86279297
42,4317.92480469
43,4082.46606445
44,4073.14990234
45,4004.82250977
46,4196.81152344
47,4016.60083008
48,4090.38208008
49,3916.41796875
50,4074.32373047
51,3985.12060547
52,3868.25830078
53,4000.62207031
54,4079.15991211
55,4262.39892578
56,3883.89746094
57,4282.23095703
58,3987.30322266
59,3931.12255859
60,4109.32128906
61,3973.94091797
62,3721.0690918
63,4142.42529297
64,4564.36083984
65,3755.28271484
66,4326.57324219
67,3983.64111328
68,3710.98974609
69,4019.31616211
70,3638.14916992
71,4358.52490234
72,4213.45214844
73,3531.80126953
74,4234.05615234
75,4014.22412109
76,4227.92285156
77,3892.60107422
78,3929.90258789
79,3779.52416992
80,3931.11279297
81,4140.61914062
82,4069.18579102
83,4243.00146484
84,3791.01660156
85,3773.05249023
86,4279.75976562
87,3690.35913086
88,3683.54980469
89,3701.43676758
90,3506.94238281
91,3511.12182617
92,4159.515625
93,3920.63208008
94,4004.63378906
95,3743.81542969
96,4161.82128906
97,4412.33935547
98,4484.47851562
99,3922.33007812
100,4108.56005859
101,3885.76074219
102,4102.29541016
103,3737.72021484
104,3641.4140625
105,4046.06933594
106,3618.75146484
107,3833.99780273
108,4370.12597656
109,4109.36962891
110,4004.54614258
111,3806.46020508
112,4208.98925781
113,3813.59350586
114,4337.95458984
115,4198.5078125
116,3883.84448242
117,4401.27392578
118,3725.796875
119,3597.06201172
120,4113.07763672
121,3554.19873047
122,3674.63623047
123,4004.19799805
124,3964.55102539
125,4001.78051758
126,3732.29174805
127,3619.69702148
128,3810.56591797
129,3610.19213867
130,4111.99365234
131,3863.04370117
132,3781.57641602
133,4056.83154297
134,3878.18579102
135,3700.35205078
136,3834.81445312
137,4025.01928711
138,3892.72290039
139,3462.86035156
140,3394.06201172
141,3805.08886719
142,4057.79345703
143,4239.48681641
144,3677.48217773
145,3871.01171875
146,3574.04638672
147,3761.11523438
148,3758.52905273
149,3462.3190918
150,3284.99316406
151,3522.70019531
152,4052.11621094
153,3926.57177734
154,3913.29248047
155,3973.30322266
156,3623.16503906
157,3630.93847656
158,3762.13476562
159,3681.70898438
160,4117.234375
161,3510.43457031
162,3681.19335938
163,3286.97607422
164,3274.29052734
165,3631.11523438
166,3249.4699707
167,4072.68847656
168,3520.26416016
169,3851.46020508
170,3930.83178711
171,3873.09765625
172,3659.50146484
173,3539.17626953
174,3403.66870117
175,3890.85644531
176,3887.05688477
177,3797.98706055
178,4131.5859375
179,3952.74023438
180,4104.28222656
181,3617.10498047
182,2936.74633789
183,3468.59765625
184,3273.0793457
185,4001.27026367
186,4214.41943359
187,3964.64599609
188,4202.51806641
189,4374.73388672
190,3768.47314453
191,3925.22875977
192,3652.24365234
193,4009.8840332
194,4073.57861328
195,4134.51123047
196,3737.1418457
197,3881.5078125
198,3895.17456055
199,4116.30810547
200,3685.85083008
201,3708.67822266
202,3628.31665039
