[ 88.71665955 -40.7649498    1.24206746],[ 0.66614568  0.61711752  0.26606423 -0.32933736]
[-21.78941727 -15.15574646   1.65150738],[ 0.62299603  0.54181206 -0.3824023   0.41957799]
[ 21.41447258 -24.62738991   1.79145432],[ 0.77557009  0.62581259  0.03981376 -0.0531148 ]
[ 38.31004333 -29.28061485   1.79556155],[ 0.70217097  0.65242267  0.16538447 -0.22667228]
[-31.79836845 -15.4795866    1.64823151],[ 0.62954295  0.5474323  -0.37298366  0.41362554]
[ 48.0236969  -31.66515541   1.67583692],[ 0.66509968  0.61348081  0.27533978 -0.32752377]
[ 20.02145576 -25.57299805   1.80957282],[ 0.79459071  0.60104674  0.02709117 -0.04176309]
[ 21.1727314  -19.42366791   1.64541292],[ 0.78058028  0.61251587  0.00794706 -0.04911753]
[  7.24490738 -22.08828735   1.84179628],[ 0.75618929  0.60160929 -0.18804574  0.17167279]
[ 30.9763546  -23.44406891   1.7017777 ],[ 0.74162924  0.62551939  0.13087726 -0.19757594]
[-32.71899414 -14.82742596   1.61570621],[ 0.63261461  0.53947717 -0.36944184  0.42202982]
[-13.99079323 -15.90653038   1.69366574],[ 0.66898078  0.55757153 -0.33594856  0.36436287]
[ -5.92580366 -15.62439632   1.74279106],[ 0.6816178   0.62838084 -0.25464788  0.2778129 ]
[-32.04967117 -13.28083706   1.60819805],[ 0.67061681  0.53673005 -0.32986182  0.39942715]
[ -1.27396691 -15.31137753   1.71283066],[ 0.73786241  0.57232213 -0.2473689   0.25622493]
[ 62.71038437 -34.76942825   1.56064212],[ 0.67887014  0.66634083  0.20882869 -0.24040933]
[ 46.58081055 -31.03511238   1.74603415],[ 0.67682797  0.67195827  0.16714025 -0.25624529]
[ 11.06922626 -21.7941227    1.83390284],[ 0.7709772   0.6264714  -0.07414364  0.07000101]
[ -7.02106714 -15.25635433   1.73269093],[ 0.66387445  0.63437063 -0.26489305  0.29745615]
[ 58.20064926 -34.52249527   1.63842499],[ 0.66762811  0.66102862  0.23142096 -0.2615515 ]
[-36.03972626 -15.22621346   1.59988248],[ 0.62798882  0.52693528 -0.36895633  0.44381937]
[-29.51224518 -13.16119957   1.59806287],[ 0.67989177  0.53040826 -0.32687414  0.3922646 ]
[  2.04756594 -16.78360176   1.77104759],[ 0.73578608  0.64715153 -0.17270124  0.15541402]
[ 11.4529171  -22.10785675   1.84065557],[ 0.76795298  0.63017166 -0.06945299  0.06815594]
[ 41.19939804 -28.4761219    1.7440846 ],[ 0.72190565  0.6590597   0.13929293 -0.17308167]
[ 19.28066063 -23.77315903   1.79045594],[ 0.77461851  0.62522966  0.01779241 -0.07484646]
[ 67.41162872 -37.92874527   1.56168592],[ 0.6457181   0.67121488  0.25358155 -0.27424541]
[-26.24739456 -13.95134735   1.64464653],[ 0.68105143  0.53827488 -0.30984738  0.39405519]
[-14.45135975 -18.78486443   1.7724421 ],[ 0.68101799  0.61418623 -0.28142482  0.2828173 ]
[ 32.07891846 -22.49082756   1.6650902 ],[ 0.71525764  0.64308923  0.16681865 -0.2100161 ]
[ 90.15820312 -40.56882477   1.29070473],[ 0.62192333  0.58478141  0.32949293 -0.41004431]
[ 38.51739883 -28.27914429   1.76948571],[ 0.72362709  0.66408026  0.10779715 -0.15918639]
[ 33.90708923 -28.68262863   1.75958419],[ 0.72999567  0.6102922   0.17807311 -0.25058797]
[ 52.54214478 -34.10413361   1.66149521],[ 0.65678394  0.61646217  0.28381428 -0.33462429]
[ 85.12608337 -39.15460587   1.34841216],[ 0.64079165  0.586757    0.30844289 -0.40189072]
[ 57.06050873 -33.98547363   1.66776752],[ 0.67856634  0.65983707  0.21788353 -0.24957241]
[ 63.10119247 -36.79026794   1.61257994],[ 0.67553991  0.64311516  0.2490733  -0.27368584]
[ 36.20038223 -28.19754791   1.77893507],[ 0.70745802  0.65131515  0.17036888 -0.21099417]
[-20.44726944 -15.15216255   1.68287361],[ 0.66104132  0.56775993 -0.33494917  0.36342382]
[ 85.43452454 -40.06867218   1.39339209],[ 0.63488352  0.63943577  0.27146861 -0.35914242]
[-17.08701324 -15.06609154   1.69697714],[ 0.67171669  0.56037086 -0.3344138   0.35723972]
[-15.44536114 -15.22038174   1.71876991],[ 0.65843308  0.62498873 -0.30085519  0.29483628]
[ 37.46263123 -27.11051941   1.72708762],[ 0.68810815  0.63819581  0.22947109 -0.26245373]
[-10.46982956 -15.06734562   1.73467219],[ 0.67935073  0.62596327 -0.26634827  0.2794019 ]
[ 38.47301865 -28.77868462   1.76940978],[ 0.70336396  0.66915733  0.14016992 -0.20022716]
[ 11.97085953 -25.01530075   1.87683773],[ 0.76962358  0.63598794 -0.04007328  0.00104252]
[ 64.54077911 -36.86338806   1.57357287],[ 0.65632403  0.65008628  0.25696769 -0.29187378]
[-23.23733902 -16.75555801   1.7087028 ],[ 0.65226829  0.58337027 -0.33806983  0.35077837]
[  7.65678406 -16.47629547   1.74085748],[ 0.75619686  0.64840245 -0.06120487  0.06309257]
[ 28.54068947 -25.22759628   1.71255159],[ 0.78824157  0.60327846  0.04134384 -0.10442206]
[ 43.45872116 -30.16563225   1.77478492],[ 0.69692981  0.67143345  0.14725539 -0.20561501]
[-37.88022995 -17.17753983   1.65346527],[ 0.60199594  0.55474788 -0.37878248  0.43895277]
[ 61.63180923 -34.17466736   1.59700191],[ 0.67258865  0.67527908  0.20670101 -0.23887707]
