itr,loss
0,1261.39599609
1,2349.63598633
2,1823.37609863
3,1713.08984375
4,1548.37133789
5,1364.25415039
6,1570.38818359
7,1890.65380859
8,1666.58947754
9,1947.41369629
10,1655.74023438
11,1435.82714844
12,1206.34375
13,1777.27734375
14,998.955627441
15,1496.05419922
16,1538.21826172
17,1285.92041016
18,1402.09936523
19,1320.66345215
20,1271.31335449
21,1557.69567871
22,1239.49414062
23,1090.81567383
24,1234.1776123
25,1664.09533691
26,1091.8684082
27,1521.60559082
28,1207.02783203
29,1499.12414551
30,1623.98828125
31,1054.20703125
32,1427.6583252
33,1640.85803223
34,1424.96130371
35,1065.4753418
36,1602.82922363
37,1940.19238281
38,921.668151855
39,1967.68688965
40,1382.82897949
41,1519.69934082
42,1779.62109375
43,1101.44018555
44,1769.73730469
45,1181.7166748
46,1557.51367188
47,965.986877441
48,1095.02197266
49,1074.1628418
50,1208.71459961
51,927.987854004
52,695.945495605
53,1822.92248535
54,1744.37817383
55,1562.36022949
56,1328.06787109
57,1499.78259277
58,1222.69616699
59,1114.96826172
60,1951.83325195
61,1633.92358398
62,1391.62463379
63,1719.49914551
64,1108.8717041
65,1173.0489502
66,1398.58154297
67,1443.47399902
68,1328.69458008
69,1472.97998047
70,1651.69152832
71,1732.00891113
72,1666.31799316
73,897.59588623
74,892.229553223
75,1594.90246582
76,1069.79101562
77,1777.79272461
78,1571.89672852
79,886.574279785
80,1581.66296387
81,2303.90576172
82,1696.57397461
83,1298.72900391
84,1123.28735352
85,1659.51464844
86,1522.7310791
87,1798.47241211
88,826.366210938
89,1387.46130371
90,1860.26000977
91,1221.20690918
92,1325.40185547
93,998.717529297
94,1063.89746094
95,1735.76489258
96,1338.81921387
97,1245.68444824
98,1036.08227539
99,1443.80700684
100,1493.87658691
101,1267.62084961
102,2056.92431641
103,1404.62536621
104,1211.88354492
105,1033.94006348
106,1047.90270996
107,1064.6003418
108,1529.86328125
109,969.720214844
110,1230.95495605
111,1553.63476562
112,1110.31225586
113,1795.44543457
114,1436.11560059
115,1719.66320801
116,1740.15673828
117,1212.74353027
118,1526.99963379
119,1504.98583984
120,1389.84814453
121,1659.87133789
122,956.598022461
123,901.444519043
124,1999.78759766
125,1351.97460938
126,1700.52307129
127,1459.3927002
128,1196.56079102
129,1079.66711426
130,1634.55395508
131,1291.02880859
132,1711.26159668
133,1193.65185547
134,1519.11364746
135,1561.64794922
136,1214.25354004
137,1131.47668457
138,2090.11791992
139,2268.01342773
140,1385.40917969
141,1844.52868652
142,1173.68737793
143,1261.91638184
144,1564.49255371
145,1803.25073242
146,1710.84851074
147,1861.37854004
148,1086.11035156
149,1748.45275879
150,1287.96728516
151,1087.0020752
152,1759.92578125
153,1255.0949707
154,989.512023926
155,2344.48071289
156,1210.93444824
157,986.031799316
158,999.665100098
159,1533.32128906
160,1309.71911621
161,1989.27685547
162,1045.97131348
163,1329.01013184
164,1538.7701416
165,1258.47497559
166,1634.46118164
167,1719.74133301
168,1162.68457031
169,1422.06262207
170,1126.84240723
171,1336.43530273
172,1712.39904785
173,1728.27111816
174,1584.11047363
175,1042.72253418
176,1050.9407959
177,1272.62683105
178,2265.99414062
179,1523.14916992
180,1540.8269043
181,1068.1730957
182,1343.5690918
183,1129.37280273
184,1017.89733887
185,859.610046387
186,959.088623047
187,1525.72509766
188,1401.81213379
189,1664.42907715
190,849.241394043
191,1136.02001953
192,1526.58874512
193,2003.6739502
194,1546.11767578
195,1308.71008301
196,1137.52294922
