itr,loss
0,5917.41162109
1,6403.22851562
2,5402.04150391
3,4908.41699219
4,4801.01660156
5,5710.23046875
6,4690.75292969
7,4855.27001953
8,4767.86669922
9,4302.67089844
10,3994.91186523
11,4555.85205078
12,4858.79492188
13,4036.79785156
14,4435.65576172
15,4234.03466797
16,4410.35351562
17,4391.46972656
18,4017.77880859
19,4238.18066406
20,4290.57470703
21,4224.42529297
22,3640.49145508
23,4202.32714844
24,4154.6171875
25,4293.72363281
26,4032.60302734
27,4448.73632812
28,4675.16210938
29,3943.85986328
30,4653.26708984
31,3984.30224609
32,4287.78564453
33,4075.58374023
34,4243.84814453
35,4259.34521484
36,4230.44628906
37,4088.32080078
38,4299.41992188
39,3901.16772461
40,4038.57348633
41,3920.82495117
42,4131.83203125
43,4656.72460938
44,4159.19775391
45,4441.09179688
46,3857.69213867
47,3916.96606445
48,3709.16723633
49,3848.29370117
50,3347.11914062
51,4132.87011719
52,3657.72607422
53,4208.89697266
54,3773.99755859
55,4156.68652344
56,4271.84179688
57,3508.37426758
58,3883.94238281
59,4196.81347656
60,4091.53076172
61,4064.23144531
62,3744.13574219
63,4414.76074219
64,4031.17382812
65,3583.54321289
66,3237.9597168
67,4156.80957031
68,3555.86547852
69,3738.19287109
70,3604.64794922
71,3661.35766602
72,3377.41137695
73,3580.96386719
74,3550.91113281
75,4198.015625
76,3963.47143555
77,4144.53857422
78,4157.578125
79,3605.69091797
80,3122.07592773
81,3711.70556641
82,3874.46435547
83,3445.88256836
84,4093.29150391
85,3857.6496582
86,4107.55908203
87,3347.61694336
88,4015.98339844
89,3134.18847656
90,3873.72802734
91,3744.68457031
92,3399.66967773
93,3783.58007812
94,3458.09790039
95,3955.13525391
96,4257.68994141
97,4193.56347656
98,3982.22949219
99,3848.59277344
100,3784.71655273
101,4231.09814453
102,3259.61206055
103,3339.51782227
104,3685.3828125
105,4553.09912109
106,3839.29101562
107,3216.98876953
108,4232.46679688
109,3337.01708984
110,3996.68969727
111,3301.73535156
112,3368.59545898
113,3706.90234375
114,3699.0078125
115,3540.30029297
116,3005.19946289
117,3050.81933594
118,3301.4296875
119,3081.54736328
120,2962.34960938
121,3392.39282227
122,3071.59887695
123,4039.24731445
124,3520.07128906
125,4094.72900391
126,4326.91650391
127,3325.06347656
128,3696.17895508
129,3978.92016602
130,3616.32397461
131,3363.15332031
132,3432.85107422
133,3139.04663086
134,3614.59277344
135,2647.19702148
136,3464.125
137,2941.35400391
138,3717.75390625
139,3154.42724609
140,3746.97949219
141,3485.48730469
142,3648.40332031
143,3957.37719727
144,3118.52954102
145,3339.89941406
146,3191.14355469
147,2609.42041016
148,3574.67016602
149,2885.52709961
150,2978.24707031
151,3128.30932617
152,3407.11865234
153,3743.08032227
154,3121.27612305
155,3079.6418457
156,3087.71875
157,3055.60302734
158,3238.8684082
159,2771.80029297
160,3182.22241211
161,2625.43554688
162,2765.08764648
163,2556.90698242
164,2640.2644043
165,2333.43164062
166,3372.76782227
167,3289.8984375
168,2664.46362305
169,2647.24462891
170,2638.40600586
171,2735.34399414
172,2525.06469727
173,2736.40625
174,2640.22460938
175,2656.17236328
176,2307.56713867
177,2529.015625
178,2750.41870117
179,2505.66674805
180,3262.61157227
181,2700.31713867
182,2826.41381836
183,2670.86962891
184,2453.84228516
185,2626.69946289
186,2936.84570312
187,3518.29321289
188,2641.64794922
189,3408.95678711
190,2971.66796875
191,3013.96850586
192,2748.02734375
193,2632.85351562
194,2572.67895508
195,2426.72900391
196,2343.69946289
197,2715.23168945
198,2632.04858398
199,2240.65551758
200,2403.23608398
201,2651.94189453
202,2527.09545898
203,2160.7890625
204,2439.25488281
205,2508.29296875
206,2625.6574707
207,2229.81689453
208,2918.50610352
209,2744.9296875
210,2698.39306641
211,2157.94555664
212,2488.25805664
213,2210.81445312
214,2202.17382812
215,2096.80932617
216,2125.76098633
217,1963.38708496
218,2351.93457031
219,2304.10449219
220,2375.71948242
221,2186.13378906
222,1970.63244629
223,2270.61938477
224,2359.45776367
225,2018.29821777
226,2187.77392578
227,1844.234375
228,2849.46020508
229,2481.22631836
230,2473.84033203
231,2853.703125
232,1988.14855957
233,2209.95532227
234,2218.73828125
235,2432.3659668
236,1752.44445801
237,1674.64086914
238,1574.49511719
239,2150.70825195
240,1794.63891602
241,1886.35388184
242,2195.87988281
243,2048.20068359
244,2229.3684082
245,1881.75158691
246,1633.77111816
247,2024.66369629
248,2293.32299805
249,1903.93212891
250,2399.09008789
251,2452.55761719
252,2518.20898438
253,2062.66259766
254,2415.69018555
255,2406.11889648
256,1686.82519531
257,2141.68066406
258,1695.01782227
259,1857.75549316
260,1807.31689453
261,1948.88439941
262,2036.95202637
263,2037.2097168
264,1509.96130371
265,1803.54370117
266,1670.4440918
267,1788.28967285
268,1910.11669922
269,2239.01635742
270,1910.03259277
271,2091.90625
272,2236.90405273
273,2009.08251953
274,1764.54321289
275,2956.3581543
276,1776.7401123
277,2017.04528809
278,2013.82299805
279,1724.67358398
280,2178.84399414
281,1770.43762207
282,1565.6829834
283,2816.30834961
284,2320.32714844
285,1608.46911621
286,1724.42541504
287,1599.01525879
288,1550.87158203
289,1969.35668945
290,1574.47888184
291,1655.38061523
292,1831.53674316
293,1734.3359375
294,1789.72644043
295,1583.81811523
296,1480.93835449
297,1462.10168457
298,1625.05859375
299,2135.06811523
300,1874.7076416
301,1779.89648438
302,1641.41088867
303,2117.42773438
304,1989.43347168
305,1887.19189453
306,1764.42626953
307,1818.09436035
308,1679.109375
309,1605.7355957
310,1476.5255127
311,1794.24291992
312,1549.04150391
313,2102.74023438
314,1658.58190918
315,1554.44384766
316,1786.64428711
317,1588.62609863
318,2224.54492188
319,1404.53320312
320,1503.40246582
321,1817.28540039
322,1953.55480957
323,1699.8416748
324,1948.87414551
325,2362.77734375
326,1895.77478027
327,2026.3717041
328,1707.77319336
329,1638.65283203
330,1674.30554199
331,2084.75756836
332,1645.04724121
333,1727.76306152
334,1672.03991699
335,1370.29797363
336,1551.16503906
337,1376.23132324
338,1431.63684082
339,1683.05322266
340,1396.26855469
341,2302.94091797
342,1495.66040039
343,1325.05285645
344,1759.22875977
345,1403.66101074
346,1442.28894043
347,1822.01245117
348,1344.81262207
349,1669.94372559
350,1319.17004395
351,1767.71081543
352,1158.51916504
353,1651.63061523
354,1256.18041992
355,1322.32910156
356,1745.40673828
357,1656.02172852
358,1340.06616211
359,1815.63269043
360,1646.51000977
361,1549.68896484
362,1974.91296387
363,2123.06225586
364,1933.00744629
365,1477.70947266
366,1416.5222168
367,1308.92370605
368,1798.46777344
369,1502.0880127
370,1588.89233398
371,1416.00183105
372,1428.83984375
373,1480.55651855
374,1785.13623047
375,1414.59692383
376,1436.58630371
377,1335.16442871
378,1353.79089355
379,1267.39331055
380,1646.35473633
381,1564.45397949
382,1506.39697266
383,1643.39550781
384,2358.80834961
385,1720.81628418
386,1480.11437988
387,1470.82409668
388,1855.66333008
389,1711.05456543
390,2014.13452148
391,1326.07165527
392,1806.36254883
393,1832.61462402
394,1514.29650879
395,1479.23327637
396,1481.7520752
397,1751.70422363
398,1516.45837402
399,1333.22607422
400,1431.87304688
401,1646.80212402
402,1729.40161133
403,1453.44848633
404,1814.13757324
405,1462.3894043
406,1353.78356934
407,1411.93395996
408,1553.73535156
409,1353.64733887
410,1891.48400879
411,1201.60449219
412,1326.42919922
413,1557.20349121
414,1229.62524414
415,1650.20483398
416,1297.44970703
417,1308.43078613
418,1278.5222168
419,1432.60839844
420,2195.82543945
421,1816.78613281
422,1234.96337891
423,1292.76342773
424,1309.10351562
425,1167.46313477
426,1300.26538086
427,1281.08251953
428,1216.32189941
429,1745.01513672
430,1298.66369629
431,1221.28710938
432,1724.22436523
433,1741.21850586
434,1646.66418457
435,1905.7286377
436,1284.50366211
437,1182.96850586
438,1358.69433594
439,1180.02270508
440,1876.03308105
441,1689.90808105
442,1285.89575195
443,1212.86962891
444,1516.22229004
445,1286.28759766
446,1115.49401855
447,1643.2376709
448,1550.25769043
449,1225.00805664
450,1317.57568359
451,1116.93823242
452,1326.16174316
453,1253.06225586
454,1526.6829834
455,1343.85217285
456,1239.56945801
457,1993.59570312
458,1494.56091309
459,1364.32348633
460,1188.78344727
461,1239.05505371
462,1082.09130859
463,1326.02514648
464,1644.86669922
465,1181.3371582
466,1755.6583252
467,1354.5177002
468,1275.93859863
469,1980.92980957
470,1574.96325684
471,1270.10656738
472,1978.4987793
473,1443.47094727
474,1256.49023438
475,1279.77478027
476,1430.24267578
477,1807.35437012
478,1341.12438965
479,1305.08654785
480,1290.54528809
481,1467.79931641
482,1265.08752441
483,1792.87561035
484,1493.28613281
485,1226.61889648
486,1148.6953125
487,1346.09802246
488,1414.52185059
489,1823.80725098
490,1843.98974609
491,1386.0645752
492,1154.37268066
493,1268.36157227
494,1200.37805176
495,1224.89453125
496,1214.24816895
497,1287.69665527
498,1226.41113281
499,1296.56066895
500,1310.3572998
501,1249.89111328
502,1060.95324707
503,1166.84204102
504,1186.15600586
505,1125.36645508
506,1344.24389648
507,1100.86999512
508,1717.6484375
509,1641.66809082
510,1583.77185059
511,1881.87841797
512,1186.37915039
513,1199.05310059
514,1163.48925781
515,1185.46875
516,1020.92456055
517,1238.97021484
518,1131.42468262
519,1055.57373047
520,1016.76702881
521,1193.41174316
522,1176.01171875
523,1144.52062988
524,1176.26025391
525,1120.72497559
526,1571.27001953
527,1304.71557617
528,1677.53320312
529,1636.36962891
530,1599.52124023
531,1676.74511719
532,1091.1451416
533,1155.65551758
534,1502.796875
535,1232.24707031
536,995.025695801
537,1100.16430664
538,1170.43273926
539,1128.92456055
540,1876.34020996
541,1082.1763916
542,1367.03405762
543,1239.7019043
544,1031.38061523
545,1107.07873535
546,1122.82983398
547,954.815795898
548,1045.39428711
549,1189.05151367
550,1132.55407715
551,2125.67016602
552,1416.3392334
553,1499.5904541
554,1244.54418945
555,1025.18981934
556,1451.51196289
557,1181.50219727
558,1175.41430664
559,1023.83660889
560,1028.33874512
561,1145.29284668
562,1074.85388184
563,1079.15563965
564,1195.12231445
565,1732.58361816
566,1170.14074707
567,1064.6685791
568,1200.08117676
569,1518.55297852
570,1140.45251465
571,1035.46618652
572,1031.0098877
573,1692.67163086
574,1142.21447754
575,1116.69714355
576,1094.15893555
577,1035.94360352
578,1071.4822998
579,1386.97509766
580,2157.17871094
581,1350.80310059
582,1154.8269043
583,1787.33398438
584,1263.31323242
585,1423.18029785
586,1402.32824707
587,1010.93212891
588,1228.55517578
589,1135.4317627
590,1022.10864258
591,1330.94055176
592,1114.3939209
593,1146.57165527
594,1050.91088867
595,1034.10974121
596,1623.49487305
597,1201.71154785
598,1146.20617676
599,1305.82556152
600,1591.20776367
601,1120.81640625
602,1318.1003418
603,1096.53405762
604,1041.57800293
605,1095.68103027
606,1100.39038086
607,1583.91625977
608,1135.55126953
609,1138.3470459
610,1097.73803711
611,1143.39929199
612,1122.50073242
613,1256.79211426
614,1044.14611816
615,1075.19775391
616,996.923828125
617,1053.92724609
618,1160.9654541
619,1130.81750488
620,1254.08300781
621,1867.95397949
622,1105.89489746
623,1091.84509277
624,1034.06982422
625,1126.70483398
626,1338.27026367
627,1148.69482422
628,1124.65075684
629,1731.58361816
630,1735.6817627
631,1145.82653809
632,1049.33337402
633,1143.87670898
634,1493.59423828
635,1078.24609375
636,1116.1595459
637,1181.97949219
638,1157.92883301
639,1106.08972168
640,1035.61889648
641,957.077453613
642,2019.04968262
643,1313.11572266
644,1124.52172852
645,1094.7277832
646,1140.20031738
647,1067.80517578
648,1073.11694336
649,1236.45251465
650,1596.40087891
651,1120.02441406
652,1116.46325684
653,1455.97705078
654,1191.85205078
655,1050.16687012
656,1669.77758789
657,1175.49560547
658,1037.59924316
659,1332.99560547
660,1096.44604492
661,1567.69311523
662,1153.14916992
663,1091.35119629
664,1161.34741211
665,1128.55322266
666,980.725769043
667,1110.08691406
668,1081.38012695
669,1190.20214844
670,1135.83166504
671,1741.91125488
672,1055.13952637
673,1466.98242188
674,1262.05603027
675,1111.34423828
676,1586.91467285
677,1051.99462891
678,1173.09716797
679,1667.50256348
680,1143.90356445
681,1097.29443359
682,1562.43554688
683,1399.32702637
684,1397.40698242
685,1099.89477539
686,1146.47839355
687,1128.1159668
688,946.572753906
689,1135.44494629
690,1124.16455078
691,1673.57470703
692,1153.42236328
693,1016.50177002
694,1109.77233887
695,1142.90063477
696,1165.04089355
697,1304.76745605
698,964.773925781
699,972.512390137
700,1698.37573242
701,1021.3848877
702,1074.73120117
703,1070.76965332
704,956.038085938
705,1060.96496582
706,1711.71533203
707,1331.6237793
708,1132.51159668
709,1140.63183594
710,1749.74084473
711,1172.0682373
712,1281.46118164
713,1035.46777344
714,1130.67980957
715,1743.60925293
716,1130.55224609
717,1066.10839844
718,1441.98449707
719,1102.02099609
720,1172.11816406
721,1015.74493408
722,1489.79553223
723,1432.40844727
724,1124.29907227
725,1102.62866211
726,1092.33410645
727,1132.37768555
728,1575.90283203
729,1385.55627441
730,1433.39489746
731,1158.26220703
732,1018.07781982
733,1147.02587891
734,1241.12744141
735,1216.31982422
736,1029.86584473
737,1088.54333496
738,1076.51953125
739,1402.55187988
740,1116.68762207
741,1718.6282959
742,1091.51599121
743,1065.28564453
744,1111.46606445
745,1740.95422363
746,1061.74731445
747,1091.21508789
748,1344.93432617
749,952.16027832
750,1028.50842285
751,1032.33691406
752,1098.64160156
753,1133.41101074
754,930.692932129
755,1639.58215332
756,970.887084961
757,1039.01281738
758,1115.80541992
759,1102.68432617
760,995.946166992
761,988.489685059
762,1690.87182617
763,1168.10400391
764,1207.78735352
765,1144.26452637
766,1113.22131348
767,1395.69421387
768,1799.34533691
769,1705.73449707
770,1051.39770508
771,1017.39709473
772,1159.01904297
773,1025.00695801
774,1706.23327637
775,1132.43078613
776,942.567138672
777,1571.40185547
778,1062.8326416
779,1071.35131836
780,1062.69494629
781,1014.8147583
782,1080.50476074
783,1000.52685547
784,1121.46777344
785,1029.64416504
786,931.812011719
787,1037.46252441
788,970.544433594
789,955.40411377
790,1041.61767578
791,1199.04064941
792,961.616882324
793,1300.81713867
794,976.842773438
795,1959.83178711
796,1389.48950195
797,1094.53027344
798,1018.78155518
799,1319.75854492
800,1065.08093262
801,1015.14428711
802,1674.40612793
803,1603.80603027
804,1140.41467285
805,1067.4342041
806,1199.49914551
807,1332.34753418
808,1061.95495605
809,1071.00964355
810,1119.72680664
811,996.505493164
812,1034.81567383
813,1069.69592285
814,1005.27636719
815,1136.77319336
816,1107.30419922
817,1089.32189941
818,1157.07495117
819,1418.99572754
820,1143.88586426
821,1121.30175781
822,966.911804199
823,1544.08251953
824,1664.38708496
825,1798.3260498
826,1090.59667969
827,1191.62316895
828,1063.8067627
829,1036.30993652
830,1097.81774902
831,1068.76000977
832,1840.41821289
833,1098.0793457
834,1114.09484863
835,1102.33203125
836,1160.5480957
837,1105.05822754
838,1117.82006836
839,977.089782715
840,1003.16217041
841,1017.34802246
842,1047.88574219
843,1064.30078125
844,1787.52319336
845,1117.32629395
846,1088.5994873
847,1277.30432129
848,1091.60559082
849,1631.73791504
850,1045.64233398
851,922.415466309
852,932.653991699
853,1028.35791016
854,917.851745605
855,1603.08630371
856,1107.65856934
857,1075.33972168
858,1039.35510254
859,927.499267578
860,1008.3772583
861,1577.08984375
862,1061.25952148
863,1105.86425781
864,1070.10095215
865,1096.81433105
866,1741.49621582
867,885.428344727
868,1012.52282715
869,912.655517578
870,1158.31469727
871,1048.13452148
872,1015.75512695
873,1283.95153809
874,1526.01940918
875,1134.02746582
876,1009.69134521
877,999.605712891
878,958.901916504
879,1012.75952148
880,1043.73364258
881,942.520446777
882,996.957275391
883,1009.13360596
884,1266.30895996
