itr,loss
0,12597.2324219
1,11270.2802734
2,9787.77539062
3,8886.03222656
4,7599.93164062
5,7258.23388672
6,7091.06787109
7,6515.81884766
8,6460.81396484
9,5960.22412109
10,5814.30957031
11,5817.84863281
12,5675.67822266
13,5862.67285156
14,5184.12744141
15,5775.14111328
16,5588.71142578
17,5329.0703125
18,4945.68798828
19,5163.33789062
20,5550.42089844
21,5296.14892578
22,5085.41357422
23,5094.47851562
24,5187.93359375
25,5237.57373047
26,4974.3125
27,5154.60400391
28,5034.49169922
29,5204.47021484
30,5331.45800781
31,5166.12939453
32,5038.2890625
33,5140.35205078
34,5120.68505859
35,5329.33789062
36,5094.9453125
37,4919.00195312
38,5187.49023438
39,4939.54199219
40,4917.91455078
41,4984.78076172
42,4703.84814453
43,4540.20996094
44,4882.61132812
45,4933.3984375
46,5110.35400391
47,4878.21777344
48,4874.35302734
49,4959.18798828
50,4850.84033203
51,4724.1875
52,4771.89208984
53,4798.75097656
54,4793.28173828
55,5120.52490234
56,5107.65722656
57,4821.9609375
58,4850.87353516
59,4704.98486328
60,5005.19628906
61,4436.7421875
62,4919.72705078
63,4765.14599609
64,4766.6171875
65,4700.48876953
66,4749.27636719
67,4858.07373047
68,4527.70410156
69,4609.06933594
70,4823.19628906
71,4602.72705078
72,4819.29931641
73,4479.91064453
74,4760.53222656
75,4545.328125
76,4462.25048828
77,4458.54101562
78,4748.19189453
79,4108.95849609
80,4364.30712891
81,4310.31835938
82,4344.09423828
83,4281.12792969
84,4177.08398438
85,4875.72265625
86,4803.72460938
87,4446.29589844
88,4692.49951172
89,4584.27978516
90,4238.92822266
91,4201.23535156
92,4258.8359375
93,4173.77929688
94,4389.85693359
95,4316.2265625
96,4083.05737305
97,4048.89916992
98,4461.14355469
99,4184.14746094
100,4137.94921875
101,4618.90722656
102,3857.69726562
103,4172.11621094
104,4003.52050781
105,4550.17138672
106,4058.54882812
107,4114.26123047
108,4033.81738281
109,3953.89306641
110,3969.11669922
111,4018.02734375
112,3613.734375
113,3893.92773438
114,3803.78393555
115,4239.17431641
116,4028.76831055
117,3838.63452148
118,3629.44482422
119,3921.13574219
120,3626.78173828
121,3779.91503906
122,3621.30883789
123,3582.51025391
124,3489.34814453
125,3669.32421875
126,3490.08496094
127,3975.60888672
128,3706.01953125
129,3664.58032227
130,3751.06152344
131,3667.62182617
132,3360.02587891
133,3466.26806641
134,3463.6887207
135,3444.82519531
136,3495.7890625
137,3817.39355469
138,3782.5690918
139,3482.82446289
140,3324.05200195
141,3321.04492188
142,3835.84228516
143,3742.38989258
144,4285.51904297
145,4108.27832031
146,3542.89453125
147,4013.80224609
148,3792.82617188
149,3641.50097656
150,3611.51538086
151,4170.36621094
152,3577.51098633
153,3537.56738281
154,3794.8684082
155,3170.85913086
156,4192.12011719
157,3477.59179688
158,3182.87841797
159,3747.19384766
160,3224.81787109
161,3363.30273438
162,3443.45996094
163,3231.15917969
164,3305.1340332
165,3699.98754883
166,3093.72363281
167,3274.73876953
168,3164.77685547
169,3049.7722168
170,3066.40332031
171,3286.96240234
172,2972.68994141
173,3105.84692383
174,3377.78393555
175,2956.94970703
176,3299.18212891
177,3131.85375977
178,3104.89794922
179,3147.47631836
180,3129.7421875
181,3215.98535156
182,3027.34228516
183,2902.4387207
184,3091.68920898
185,3006.30371094
186,3024.70410156
187,2749.22583008
188,2872.40698242
189,3027.10449219
190,2697.24829102
191,2874.52368164
192,2858.71484375
193,3017.85058594
194,2919.97875977
195,2831.54980469
196,3045.44799805
197,3054.72607422
198,2978.57641602
199,2831.02490234
200,2864.7121582
201,2747.58886719
202,2835.13452148
203,2953.92773438
204,2976.83374023
205,2597.65209961
206,2697.78564453
207,2740.80908203
208,2607.74707031
209,2777.1965332
210,2612.67211914
211,2845.79003906
212,2724.81054688
213,2789.5
214,2934.50366211
215,2661.61474609
216,2776.41210938
217,2768.72729492
218,2784.80688477
219,2627.80566406
220,2675.91479492
221,2813.43212891
222,2581.08349609
223,2812.67285156
224,2606.90161133
225,2711.67822266
226,2730.10058594
227,2679.48535156
228,2629.63110352
229,2682.3671875
230,2610.04541016
231,2816.22851562
232,2766.17358398
233,2558.87963867
234,2453.16625977
235,2740.24853516
236,2749.76049805
237,2564.59057617
238,2507.14355469
239,2591.3815918
240,2461.25952148
241,2669.32373047
242,2483.39501953
243,2539.87158203
244,2631.00878906
245,2374.35131836
246,2564.82373047
247,2407.83837891
248,2547.28149414
249,2514.83325195
250,2486.83984375
251,2465.07006836
252,2402.38476562
253,2542.48291016
254,2523.44018555
255,2508.38330078
256,2346.69287109
257,2582.26635742
258,2468.23168945
259,2471.70141602
260,2347.76245117
261,2420.36450195
262,2579.546875
263,2365.56079102
264,2328.46923828
265,2337.38964844
266,2530.16601562
267,2230.86279297
268,2566.60107422
269,2465.08007812
270,2524.30639648
271,2251.1640625
272,2280.83227539
273,2531.93286133
274,2471.59960938
275,2580.87304688
276,2524.08007812
277,2345.98901367
278,2516.28198242
279,2355.33398438
280,2462.32788086
281,2262.39208984
282,2328.33056641
283,2456.49731445
284,2366.70825195
285,2248.89624023
286,2540.11694336
287,2260.24145508
288,2531.62817383
289,2389.59838867
290,2295.8215332
291,2285.58886719
292,2094.83203125
293,2397.37915039
294,2324.85620117
295,2222.97387695
296,2279.25585938
297,2335.40136719
298,2271.94970703
299,2211.88818359
300,2320.23876953
301,2233.23046875
302,2250.57299805
303,2165.6340332
304,2352.2265625
305,2232.08740234
306,2190.95263672
307,2254.95629883
308,2106.98535156
309,2166.32226562
310,2201.48022461
311,2383.09960938
312,2058.63305664
313,2227.16674805
314,2319.5168457
315,2114.9519043
316,2228.90039062
317,2456.81103516
318,2177.8515625
319,2235.12475586
320,2207.05639648
321,2094.47900391
322,2184.22338867
323,2142.10107422
324,2240.90014648
325,2133.74902344
326,2142.91674805
327,2159.25073242
328,2215.84838867
329,2261.07177734
330,2090.33105469
331,2064.3269043
332,2128.30786133
333,2110.54223633
334,2019.41748047
335,2141.85961914
336,2116.91210938
337,2133.68505859
338,1935.72521973
339,2307.60498047
340,2002.12597656
341,2061.97949219
342,2032.96606445
343,2170.48461914
344,2101.80371094
345,2227.05908203
346,2053.01782227
347,2140.24682617
348,2131.05297852
349,2268.6328125
350,1986.29638672
351,2068.57128906
352,2094.22070312
353,2040.91906738
354,2118.43164062
355,2097.65551758
356,2185.15917969
357,2137.81176758
358,2107.44384766
359,2151.18798828
360,2104.9440918
361,2110.8894043
362,2105.79638672
363,2062.13989258
364,2065.53149414
365,2031.92932129
366,1994.55957031
367,2067.13989258
368,2172.1015625
369,1921.77050781
370,2145.30200195
371,2044.46337891
372,2009.73046875
373,2023.90478516
374,2025.12280273
375,1996.34106445
376,2039.27514648
377,2089.29296875
378,2057.59375
379,2032.97900391
380,1901.99926758
381,1920.19665527
382,2056.59350586
383,1939.52111816
384,2052.47412109
385,1973.43408203
386,1949.4317627
387,2108.91235352
388,1887.56884766
389,1974.3548584
390,2110.34130859
391,1994.95666504
392,2053.17285156
393,2025.95031738
394,1862.00976562
395,1850.63671875
396,1893.32531738
397,2062.15625
398,1961.2734375
399,1868.90991211
400,1903.7421875
401,2083.5871582
402,1913.97570801
403,1982.27722168
404,1831.08654785
405,1948.13134766
406,2015.62719727
407,2011.70019531
408,1936.55187988
409,1787.90258789
410,2096.08349609
411,1928.92858887
412,2078.80224609
413,1895.03991699
414,1966.78320312
415,2244.16821289
416,1973.51147461
417,1922.97680664
418,1934.14245605
419,1842.17834473
420,2102.97729492
421,2111.62329102
422,1892.17797852
423,1939.6640625
424,1942.12548828
425,1844.31213379
426,1977.60705566
427,1930.67980957
428,1947.18762207
429,1848.92663574
430,1963.72229004
431,1961.86132812
432,2064.21606445
433,2082.08569336
434,1969.49938965
435,1963.4342041
436,1797.66882324
437,1926.11657715
438,1788.83410645
439,1960.46838379
440,1935.07568359
441,1855.87902832
442,1805.88354492
443,1845.6373291
444,1922.41064453
445,1917.11010742
446,1963.86535645
447,1817.36108398
448,1741.76586914
449,1977.65722656
450,1954.78649902
451,1840.99328613
452,1689.52929688
453,1851.57727051
454,1908.0168457
455,1857.73132324
456,1830.85803223
457,1893.25744629
458,1979.17175293
459,1869.80639648
460,1831.48681641
461,1816.09387207
462,1875.27819824
463,1855.69018555
464,1855.85412598
465,1843.63244629
466,1801.87414551
467,1785.8638916
468,1893.27893066
469,1942.46716309
470,1920.3203125
471,1832.01184082
472,1757.16442871
473,1873.47497559
474,1734.75976562
475,1787.49987793
476,1808.71960449
477,1740.75732422
478,1748.83398438
479,1667.0802002
480,1869.70532227
481,1759.50720215
482,1816.66943359
483,1770.86584473
484,1659.23510742
485,1885.61218262
486,1721.4128418
487,1825.36645508
488,1768.43554688
489,1763.54699707
490,1773.04980469
491,1694.54870605
492,1812.45837402
493,1696.65014648
494,1596.7277832
495,1824.55944824
496,1724.11291504
497,1665.94958496
498,1757.78137207
499,1672.79602051
500,1551.83325195
501,1671.00073242
502,1750.17565918
503,1679.69055176
504,1724.32055664
505,1807.49084473
506,1714.60668945
507,1850.86071777
508,1680.1262207
509,1703.9831543
510,1710.09057617
511,1772.55053711
512,1867.64343262
513,1656.19946289
514,1739.52868652
515,1780.81311035
516,1848.85803223
517,1875.09399414
518,1628.38110352
519,1686.2253418
520,1665.88391113
521,1918.46887207
522,1742.57006836
523,1747.3482666
524,1647.31762695
525,1723.37695312
526,1828.64001465
527,1668.55883789
528,1737.96398926
529,1604.4107666
530,1703.81677246
531,1754.43005371
532,1647.35534668
533,1832.63989258
534,1638.01257324
535,1645.83886719
536,1697.34057617
537,1582.45178223
538,1780.38330078
539,1630.93066406
540,1754.54089355
541,1596.06762695
542,1743.83068848
543,1691.04345703
544,1660.63171387
545,1856.04785156
546,1775.93444824
547,1765.07312012
548,1770.60913086
549,1956.8515625
550,1686.36621094
551,1755.53405762
552,1797.42919922
553,1670.15527344
554,1953.22839355
555,1670.96875
556,1688.01782227
557,1865.44348145
558,1610.47875977
559,1754.16674805
560,1764.24658203
561,1794.40856934
562,1719.84399414
563,1723.10290527
564,1816.00720215
565,1866.76098633
566,1686.8536377
567,1542.65979004
568,1870.91894531
569,1562.82324219
570,1573.83532715
571,1676.51330566
572,1659.17126465
573,1613.7388916
574,1728.69238281
575,1618.66040039
576,1627.79711914
577,1678.23291016
578,1628.59533691
579,1744.44067383
580,1575.79797363
581,1710.93969727
582,1694.91564941
583,1696.38427734
584,1719.16796875
585,1659.18359375
586,1685.48303223
587,1792.89587402
588,1691.53857422
589,1662.94580078
590,1888.06066895
591,1612.52966309
592,1675.81005859
593,1779.19006348
594,1720.81384277
595,1585.61328125
596,1570.59130859
597,1683.01098633
598,1653.90673828
599,1602.80200195
600,1597.3182373
601,1671.4822998
602,1546.48657227
603,1655.9486084
604,1731.04016113
605,1581.28308105
606,1698.57214355
607,1604.23510742
608,1646.16955566
609,1506.95373535
610,1660.10498047
611,1547.33459473
612,1620.33947754
613,1614.70043945
614,1670.60009766
615,1683.09277344
616,1614.93640137
617,1604.99902344
618,1531.2668457
619,1719.66235352
620,1644.63696289
621,1606.03710938
622,1682.62878418
623,1527.17236328
624,1682.98547363
625,1598.99523926
626,1662.25073242
627,1517.55908203
628,1772.23986816
629,1559.45703125
630,1624.45996094
631,1572.01318359
632,1580.64929199
633,1485.88696289
634,1476.53466797
635,1567.40673828
636,1616.12023926
637,1493.40209961
638,1444.16748047
639,1634.63256836
640,1469.25915527
641,1570.46948242
642,1597.42407227
643,1548.32263184
644,1469.34204102
645,1433.01794434
646,1664.02587891
647,1501.78125
648,1499.10583496
649,1617.62585449
650,1654.70666504
651,1584.2668457
652,1523.09265137
653,1538.70568848
654,1472.81335449
655,1447.31176758
656,1615.94226074
657,1492.77062988
658,1523.97277832
659,1680.3203125
660,1641.22631836
661,1670.97753906
662,1636.38378906
663,1611.62438965
664,1605.37390137
665,1506.72473145
666,1561.71142578
667,1565.71948242
668,1474.01000977
669,1459.3034668
670,1456.44616699
671,1555.97814941
672,1559.31506348
673,1555.29345703
674,1508.80615234
675,1460.75927734
676,1633.00390625
677,1601.58459473
678,1565.0513916
679,1582.61132812
680,1645.36254883
681,1534.57141113
682,1537.16015625
683,1585.70397949
684,1481.11669922
685,1572.68554688
686,1588.26123047
687,1489.34411621
688,1439.93774414
689,1631.33447266
690,1466.46789551
691,1507.04150391
692,1595.57556152
693,1519.54760742
694,1514.32983398
695,1553.4083252
696,1422.20129395
697,1625.32666016
698,1578.99072266
699,1588.85778809
700,1399.44641113
701,1491.6697998
702,1594.26672363
703,1522.2869873
704,1490.54602051
705,1532.6138916
706,1602.2088623
707,1422.12353516
708,1432.90246582
709,1491.90234375
710,1565.24047852
711,1447.4798584
712,1436.9630127
713,1539.48461914
714,1515.14196777
715,1559.87451172
716,1429.25634766
717,1646.54309082
718,1505.89685059
719,1604.51318359
720,1493.35595703
721,1438.53771973
722,1559.14562988
723,1406.95385742
724,1453.28601074
725,1521.40515137
726,1507.4276123
727,1388.77490234
728,1428.43151855
729,1512.62475586
730,1492.14343262
731,1522.7142334
732,1482.22949219
733,1549.75610352
734,1450.47741699
735,1523.79882812
736,1521.01000977
737,1521.80444336
738,1354.05578613
739,1526.44909668
740,1448.42810059
741,1373.5982666
742,1404.99353027
743,1530.18579102
744,1500.26245117
745,1353.63024902
746,1490.23388672
747,1444.07543945
748,1466.69177246
749,1543.44311523
750,1364.28015137
751,1481.93762207
752,1443.6394043
753,1474.55419922
754,1438.24108887
755,1526.83276367
756,1366.82373047
757,1510.796875
758,1339.31604004
759,1464.56713867
760,1424.58972168
761,1431.15368652
762,1432.98095703
763,1429.1652832
764,1488.11560059
765,1439.15490723
766,1447.99475098
767,1461.94702148
768,1594.50927734
769,1413.60620117
770,1555.11730957
771,1503.1427002
772,1401.74243164
773,1494.51916504
774,1417.07312012
775,1421.50292969
776,1503.1685791
777,1567.23010254
778,1424.68151855
779,1452.52966309
780,1406.93200684
781,1516.18115234
782,1556.27502441
783,1513.04077148
784,1597.50537109
785,1486.08288574
786,1431.99645996
787,1523.34436035
788,1439.03979492
789,1390.30603027
790,1476.84533691
791,1518.4152832
792,1497.953125
793,1552.36279297
794,1399.19665527
795,1374.50756836
796,1423.92614746
797,1475.65966797
798,1508.35693359
799,1434.50341797
800,1404.25817871
801,1473.82226562
802,1417.02209473
803,1484.79626465
804,1463.60351562
805,1347.60778809
806,1456.04162598
807,1458.92895508
808,1513.07287598
809,1388.94592285
810,1355.18469238
811,1390.4375
812,1426.98742676
813,1428.0892334
814,1372.81396484
815,1417.05786133
816,1359.69018555
817,1338.71777344
818,1408.22412109
819,1351.71936035
820,1405.10974121
821,1486.61767578
822,1392.75268555
823,1480.23205566
824,1348.18200684
825,1474.18847656
826,1379.49926758
827,1584.50366211
828,1433.29589844
829,1400.60791016
830,1231.58911133
831,1364.60314941
832,1393.9486084
833,1438.57421875
834,1417.88146973
835,1446.47595215
836,1408.78369141
837,1397.26489258
838,1366.88378906
839,1525.93359375
840,1378.30639648
841,1353.47607422
842,1428.09179688
843,1512.62548828
844,1458.01391602
845,1350.12084961
846,1377.41210938
847,1349.0123291
848,1384.94030762
849,1449.25830078
850,1444.13867188
851,1401.65551758
852,1299.02392578
853,1369.25463867
854,1396.30822754
855,1449.97680664
856,1470.17175293
857,1382.20788574
858,1397.4387207
859,1369.43505859
860,1502.15466309
861,1355.19128418
862,1387.0222168
863,1479.74523926
864,1336.26989746
865,1418.17919922
866,1351.64367676
867,1440.26757812
868,1429.32214355
869,1313.27758789
870,1400.2286377
871,1306.93920898
872,1504.44848633
873,1434.84985352
874,1459.03601074
875,1330.82128906
876,1374.33312988
877,1322.44665527
878,1570.09191895
879,1380.20166016
880,1381.76611328
881,1445.9576416
882,1405.46533203
883,1373.76672363
884,1493.83032227
885,1263.95983887
886,1337.48522949
887,1369.20227051
888,1449.84191895
889,1422.75915527
890,1505.02734375
891,1298.05871582
892,1377.21606445
893,1639.09143066
894,1390.70922852
895,1399.94775391
896,1457.32763672
897,1348.69360352
898,1281.06103516
899,1317.1953125
900,1373.44897461
901,1327.78747559
902,1360.44262695
903,1383.81018066
904,1292.12658691
905,1306.54553223
906,1475.23596191
907,1361.05383301
908,1328.03063965
909,1280.30322266
910,1391.2442627
911,1400.77246094
912,1414.80871582
913,1518.06347656
914,1346.45300293
915,1464.83398438
916,1400.25280762
917,1378.36108398
918,1370.28393555
919,1292.06677246
920,1399.81640625
921,1397.28955078
922,1522.19189453
923,1477.91113281
924,1527.91052246
925,1389.59692383
926,1550.23291016
927,1361.66711426
928,1321.9675293
929,1344.63146973
930,1257.94921875
931,1347.16430664
932,1361.07214355
933,1330.36169434
934,1411.16906738
935,1234.36047363
936,1251.79040527
937,1356.78540039
938,1426.18835449
939,1397.82019043
940,1345.42651367
941,1323.1965332
942,1376.3848877
943,1370.66333008
944,1248.49133301
945,1360.36108398
946,1436.51672363
947,1337.5637207
948,1318.64257812
949,1360.62487793
950,1280.45202637
951,1337.58996582
952,1452.81604004
953,1360.05993652
954,1355.2598877
955,1348.09387207
956,1270.10717773
957,1276.11694336
958,1292.14709473
959,1341.87524414
960,1319.34338379
961,1263.94165039
962,1453.29431152
963,1391.82507324
964,1301.91699219
965,1359.56018066
966,1361.26037598
967,1216.87585449
968,1299.10266113
969,1209.62060547
970,1185.98034668
971,1344.25463867
972,1363.48791504
973,1327.86572266
974,1320.93737793
975,1297.29736328
976,1406.34387207
977,1258.11901855
978,1333.18664551
979,1352.63635254
980,1309.79504395
981,1306.64611816
982,1327.13781738
983,1357.17321777
984,1333.82824707
985,1396.96203613
986,1340.63085938
987,1292.54296875
988,1332.81213379
989,1371.90979004
990,1275.78027344
991,1191.93127441
992,1203.60900879
993,1326.02099609
994,1240.14111328
995,1311.9675293
996,1451.06103516
997,1327.03881836
998,1330.77087402
999,1401.80700684
1000,1213.33947754
1001,1356.61486816
1002,1415.94177246
1003,1273.20898438
1004,1289.20214844
1005,1408.38391113
1006,1262.88110352
1007,1234.54882812
1008,1249.97937012
1009,1439.24267578
1010,1377.73364258
1011,1275.65063477
1012,1244.05883789
1013,1279.99023438
1014,1303.05187988
1015,1230.9206543
1016,1277.20373535
1017,1265.15844727
1018,1314.64343262
1019,1346.34265137
1020,1326.25268555
1021,1271.89819336
1022,1238.65197754
1023,1220.82763672
1024,1299.76013184
1025,1351.28894043
1026,1339.27490234
1027,1352.03686523
1028,1331.95544434
1029,1259.5333252
1030,1377.25866699
1031,1189.18371582
1032,1269.5513916
1033,1384.93029785
1034,1325.25561523
1035,1299.94250488
