itr,loss
0,7631.40234375
1,3751.6730957
2,4013.12939453
3,3991.3984375
4,3163.69726562
5,3557.72094727
6,2991.66845703
7,2954.83959961
8,3068.97851562
9,3011.73754883
10,2761.3815918
11,2969.87060547
12,2777.56054688
13,2615.22583008
14,2918.26269531
15,2835.96411133
16,2705.03149414
17,2451.42236328
18,2620.73925781
19,2489.19360352
20,2578.53540039
21,2743.21606445
22,2562.3125
23,2604.92895508
24,2527.83959961
25,2512.21606445
26,2816.01000977
27,2408.51831055
28,2327.52416992
29,2444.66186523
30,2284.20507812
31,2604.36743164
32,2269.92041016
33,2355.40332031
34,2296.53857422
35,2210.41845703
36,2317.4453125
37,2228.08666992
38,2010.41235352
39,2426.14624023
40,2175.29614258
41,2187.37963867
42,2080.05761719
43,1899.06359863
44,2176.86279297
45,2031.97741699
46,2275.40258789
47,2415.43725586
48,2008.01416016
49,2400.19750977
50,1952.42297363
51,2319.49682617
52,2516.64599609
53,2085.51245117
54,2363.74047852
55,2293.64770508
56,2165.30664062
57,2140.03051758
58,2304.24731445
59,2099.89599609
60,2229.66552734
61,2103.11425781
62,2030.16137695
63,2040.55175781
64,2100.8972168
65,2569.97290039
66,2447.49536133
67,2060.03076172
68,2601.75488281
69,2197.80810547
70,2235.87255859
71,2037.01586914
72,1988.85510254
73,2182.4206543
74,2143.19628906
75,1969.5324707
76,1943.45910645
77,2044.68823242
78,1783.13525391
79,1902.49206543
80,2309.55957031
81,2220.18554688
82,2123.11376953
83,2008.51269531
84,2113.79077148
85,1988.0916748
86,2268.80200195
87,1658.00134277
88,2055.17895508
89,2049.33862305
90,1961.35498047
91,1651.2277832
92,2165.83740234
93,1846.80810547
94,1508.8001709
95,1977.9654541
96,2071.25830078
97,1927.07434082
98,1542.6217041
99,2033.33996582
100,2471.69946289
101,2369.63818359
102,1865.42883301
103,1818.7043457
104,2078.71923828
105,1964.81469727
106,1811.39099121
107,1842.04077148
108,1756.17358398
109,1923.72094727
110,1822.53930664
111,1558.62145996
112,1999.18139648
113,1643.1817627
114,1943.82067871
115,1691.36108398
116,1616.87182617
117,1919.6529541
118,1712.28955078
119,1755.2064209
120,1569.71875
121,1670.52722168
122,1470.55737305
123,1971.37939453
124,1542.54589844
125,1492.5279541
126,1609.10900879
127,1772.27770996
128,1531.88439941
129,1394.76965332
130,1638.4777832
131,1627.57385254
132,1481.51184082
133,1530.93066406
134,1401.27587891
135,1423.06994629
136,1614.6751709
137,1456.00317383
138,1513.94018555
139,1509.14660645
140,1402.2109375
141,1393.82556152
142,1476.4005127
143,1439.32019043
144,1952.36376953
145,1538.52539062
146,1568.28930664
147,1383.21569824
148,1583.64416504
149,1498.02001953
150,1427.8380127
151,1369.44335938
152,1292.09741211
153,1429.19763184
154,1369.92114258
155,1330.45898438
156,1409.78356934
157,1528.296875
158,1297.60778809
159,1207.43115234
160,1195.85632324
161,1429.01416016
162,1290.36804199
163,1258.92895508
164,1126.89697266
165,1427.80224609
166,1230.76965332
167,1307.0826416
168,1281.20068359
169,1383.4296875
170,1278.91748047
171,1345.19348145
172,1442.1595459
173,1214.6439209
174,1330.23168945
175,1229.62573242
176,1191.53393555
177,1287.41784668
178,1265.08251953
179,1333.70996094
180,1228.18273926
181,1404.02697754
182,1214.49584961
183,1574.9284668
184,1330.00378418
185,1271.37365723
186,1174.88415527
187,1359.68054199
188,1227.24963379
189,1130.41101074
190,1128.3269043
191,1140.76135254
192,1362.99279785
193,1193.13085938
194,1133.95483398
195,1208.43652344
196,1065.53881836
197,1222.51171875
198,1261.82666016
199,1194.39379883
200,1131.45275879
201,1295.65332031
202,1232.36657715
203,1095.94018555
204,1132.3302002
205,1406.27746582
206,1216.73266602
207,1170.07775879
208,1197.38867188
209,1186.58752441
210,1393.78686523
211,1235.78344727
212,1399.51550293
