itr,loss
0,7070.03222656
1,6420.42724609
2,6009.85058594
3,5160.24267578
4,4809.46875
5,4584.23779297
6,4365.59814453
7,4263.90673828
8,4064.51831055
9,4112.18359375
10,4139.54882812
11,4039.06689453
12,3978.99047852
13,4093.24853516
14,4024.70800781
15,3907.32592773
16,3981.02807617
17,3877.96166992
18,4002.95068359
19,3876.72460938
20,3726.73925781
21,3738.91894531
22,3711.77416992
23,3638.4206543
24,3855.34570312
25,3942.84985352
26,3774.01464844
27,3780.64404297
28,3795.0456543
29,3735.65625
30,3936.91967773
31,3612.65234375
32,3682.13134766
33,3902.9362793
34,3592.96582031
35,3519.16064453
36,3811.26098633
37,3687.05981445
38,3815.50244141
39,3834.77026367
40,3827.27539062
41,3930.87939453
42,3672.69775391
43,3521.80078125
44,3586.16748047
45,3370.85864258
46,3847.38012695
47,3728.10302734
48,3768.93945312
49,3667.59155273
50,3411.21142578
51,3913.8659668
52,3616.23828125
53,3494.77099609
54,3675.17431641
55,3595.27392578
56,3466.79931641
57,3682.58862305
58,3564.58740234
59,3558.90820312
60,3637.80541992
61,3487.29321289
62,3483.41870117
63,3810.8215332
64,3503.83251953
65,3392.9753418
66,3620.8137207
67,3403.30932617
68,3707.41088867
69,3412.15844727
70,3474.92895508
71,3467.59155273
72,3438.54858398
73,3572.95556641
74,3293.32226562
75,3668.74023438
76,3306.18139648
77,3414.70141602
78,3355.1315918
79,3444.68774414
80,3244.50488281
81,3236.55639648
82,3419.07373047
83,3336.91772461
84,3344.31030273
85,3454.03222656
86,3371.86328125
87,3233.26220703
88,3311.79394531
89,3324.01757812
90,3697.24584961
91,3154.01049805
92,3318.93774414
93,3587.10351562
94,3079.96386719
95,3151.52197266
96,3127.65844727
97,3223.21362305
98,3212.93725586
99,3166.94799805
100,3271.52612305
101,3044.9284668
102,3257.52661133
103,3280.67211914
104,3203.05712891
105,3090.96435547
106,3130.19921875
107,2780.57617188
108,2778.2019043
109,3328.17138672
110,3042.23803711
111,3764.69140625
112,3510.66308594
113,3008.92431641
114,3077.78344727
115,3221.72412109
116,3162.69482422
117,3080.68457031
118,3166.75708008
119,2955.05541992
120,2872.22924805
121,3308.65478516
122,3228.42553711
123,3008.52270508
124,2957.74658203
125,2988.25
126,3218.75073242
127,2927.74511719
128,2739.43725586
129,2740.7199707
130,2882.91430664
131,2908.04907227
132,2829.88623047
133,2936.87353516
134,2821.84204102
135,2723.95043945
136,2617.51806641
137,2870.12719727
138,2685.29931641
139,2696.60668945
140,2589.70605469
141,2838.48095703
142,2571.38745117
143,2820.2199707
144,2400.02978516
145,2810.00732422
146,2522.63305664
147,2750.07519531
148,2601.08691406
149,2744.13574219
150,2472.89892578
151,2578.29443359
152,2635.42675781
153,2534.19262695
154,2384.50585938
155,2637.83789062
156,2455.40161133
157,2584.97705078
158,2365.98144531
159,2436.59741211
160,2463.58862305
161,2437.64428711
162,2522.83081055
163,2554.99731445
164,2619.15405273
165,2374.80249023
166,2172.82275391
167,2445.72460938
168,2484.22680664
169,2357.22094727
170,2477.27270508
171,2499.44970703
172,2338.50732422
173,2403.48657227
174,2371.51391602
175,2357.97436523
176,2421.73583984
177,2414.64550781
178,2349.875
179,2355.12695312
180,2414.89550781
181,2347.29589844
182,2310.73022461
183,2506.93676758
184,2204.67529297
185,2341.90185547
186,2236.33520508
187,2668.74267578
188,2295.97851562
189,2713.39282227
190,2325.13745117
191,2692.07861328
192,2520.37231445
193,2305.67431641
194,2513.27563477
195,2350.18066406
196,2096.72680664
197,2528.24511719
198,2327.96850586
199,2466.58837891
200,2191.29663086
201,2302.88476562
202,2084.94824219
203,2366.35180664
204,2305.38134766
205,2321.39624023
206,2145.64624023
207,2275.1550293
208,2175.5480957
209,2097.69189453
210,2246.99194336
211,2082.24145508
212,2246.08959961
213,2143.24951172
214,2027.32055664
215,2153.94091797
216,2078.34692383
217,2117.50439453
218,2279.03759766
219,2197.59619141
220,2126.3034668
221,2123.74536133
222,2180.25878906
223,2127.65478516
224,2120.03613281
225,2221.21044922
226,2034.43603516
227,2078.78881836
228,2005.65563965
229,2216.01342773
230,1969.19226074
231,2086.98413086
232,2137.72949219
233,1973.53381348
234,2222.66259766
235,2124.51293945
236,1852.28637695
237,1990.4864502
238,1942.3536377
239,1983.59118652
240,2102.00976562
241,2020.03442383
242,1944.8651123
243,2050.96289062
244,1988.60009766
245,1947.67529297
246,2124.06420898
247,1928.86621094
248,1820.11047363
249,2008.87744141
250,2003.49243164
251,2024.21142578
252,2029.57324219
253,1954.49084473
254,1876.72338867
255,1873.03100586
256,1782.51965332
257,1982.33276367
258,1909.67028809
259,1905.62011719
260,1994.06494141
261,1939.11157227
262,1815.46618652
263,1998.10339355
264,1844.88378906
265,1834.75463867
266,1952.69226074
267,1955.88745117
268,1933.25085449
269,1927.84545898
